C1,C1_NM,C1_NM_ENG,lon,lat,centroid_quality
41285,일산동구,Ilsandong-gu,127.17561246104174,37.53367403209724,province_proxy
41287,일산서구,Ilsanseo-gu,127.17561246104174,37.53367403209724,province_proxy
41290,과천시,Gwacheon-si,127.00272828371746,37.43390297752576,exact_name
41310,구리시,Guri-si,127.13123677475609,37.5992030316588,exact_name
41360,남양주시,Namyangju-si,127.24364777204201,37.662527881149586,exact_name
41362,풍양출장소,Pungyang branch office,127.17561246104174,37.53367403209724,province_proxy
41370,오산시,Osan-si,127.05118967783353,37.16330243597764,exact_name
41390,시흥시,Siheung-si,126.78365077918177,37.38614693081957,exact_name
41410,군포시,Gunpo-si,126.9211292065461,37.34347623707224,exact_name
41430,의왕시,Uiwang-si,126.98949777593322,37.36230458964911,exact_name
41450,하남시,Hanam-si,127.20592387396452,37.52280585599754,exact_name
41460,용인시,Yongin-si,127.22168748664639,37.22153074007777,aggregated_general_gu
41461,처인구,Cheoin-gu,127.17561246104174,37.53367403209724,province_proxy
41463,기흥구,Giheung-gu,127.17561246104174,37.53367403209724,province_proxy
41465,수지구,Suji-gu,127.17561246104174,37.53367403209724,province_proxy
41480,파주시,Paju-si,126.80958789773364,37.85553174044643,exact_name
41500,이천시,Icheon-si,127.48089309712589,37.209859101198944,exact_name
41550,안성시,Anseong-si,127.30280492629423,37.03502210840777,exact_name
41570,김포시,Gimpo-si,126.62629029883259,37.68162561439025,exact_name
41590,화성시,Hwaseong-si,126.85933700310036,37.16384711369014,exact_name
41592,화성시동부출장소,Hwaseong-si dongbu branch office,127.17561246104174,37.53367403209724,province_proxy
41594,화성시동탄출장소,Hwaseong-si dongtan branch office ,127.17561246104174,37.53367403209724,province_proxy
41610,광주시,Gwangju-si,127.17561246104174,37.53367403209724,province_proxy
41630,양주시,Yangju-si,127.00115122516972,37.80864715267756,exact_name
41650,포천시,Pocheon-si,127.25045044448665,37.96992080220199,exact_name
41670,여주시,Yeoju-si,127.61565787276349,37.302481694058415,exact_name
41800,연천군,Yeoncheon-gun,127.02393741448753,38.09708200603117,exact_name
41820,가평군,Gapyeong-gun,127.4501752083993,37.818572103317386,exact_name
41830,양평군,Yangpyeong-gun,127.57919399773972,37.518020257356525,exact_name
43110,청주시,Cheongju-si,127.49872674886012,36.627325622601525,aggregated_general_gu
43111,상당구,Sangdang-gu,127.83135409007919,36.73880596711358,province_proxy
43112,서원구,Seowon-gu,127.83135409007919,36.73880596711358,province_proxy
43113,흥덕구,Heungdeok-gu,127.83135409007919,36.73880596711358,province_proxy
43114,청원구,Cheongwon-gu,127.83135409007919,36.73880596711358,province_proxy
43130,충주시,Chungju-si,127.89554100712782,37.015236129150324,exact_name
43150,제천시,Jecheon-si,128.14086965355438,37.06004845326824,exact_name
43720,보은군,Boeun-gun,127.7293452022818,36.489972830486465,exact_name
43730,옥천군,Okcheon-gun,127.65658146794415,36.32045534201448,exact_name
43740,영동군,Yeongdong-gun,127.81425318824608,36.15967279311667,exact_name
43745,증평군,Jeungpyeong-gun,127.60459806000914,36.78653298955049,exact_name
43750,진천군,Jincheon-gun,127.44043579037657,36.871023539339376,exact_name
43760,괴산군,Goesan-gun,127.82955927122089,36.76969357431927,exact_name
43770,음성군,Eumseong-gun,127.61418678963865,36.976249798814244,exact_name
43800,단양군,Danyang-gun,128.38787474525824,36.99450904563067,exact_name
44130,천안시,Cheonan-si,127.20252441738943,36.804110835496736,aggregated_general_gu
44131,동남구,dongnam-gu,126.84700629366729,36.53034492958878,province_proxy
44133,서북구,seobuk-gu,126.84700629366729,36.53034492958878,province_proxy
44150,공주시,Gongju-si,127.07505021218415,36.479912400246015,exact_name
44180,보령시,Boryeong-si,126.5907946610912,36.33984228271039,exact_name
44200,아산시,Asan-si,126.98005828693611,36.807381200444006,exact_name
44210,서산시,Seosan-si,126.46322441747249,36.78470469055256,exact_name
44230,논산시,Nonsan-si,127.15774499523445,36.190936144614575,exact_name
44250,계룡시,Gyerong-si,126.84700629366729,36.53034492958878,province_proxy
44270,당진시,Dangjin-si,126.65214385282928,36.90447435247889,exact_name
44710,금산군,Geumsan-gun,127.47835641742273,36.11900415401686,exact_name
44760,부여군,Buyeo-gun,126.85696302141034,36.24636192080016,exact_name
44770,서천군,Seocheon-gun,126.70372355202103,36.10680948686242,exact_name
44790,청양군,Cheongyang-gun,126.85304446240772,36.43055126266318,exact_name
44800,홍성군,Hongseong-gun,126.62569404590431,36.57007127702248,exact_name
44810,예산군,Yesan-gun,126.78421912366817,36.670614991011284,exact_name
44825,태안군,Taean-gun,126.27939154331213,36.707532293249876,exact_name
46110,목포시,Mokpo-si,126.39051577494818,34.80285364498132,exact_name
46130,여수시,Yeosu-si,127.6526361771799,34.69518833936227,exact_name
46150,순천시,Suncheon-si,127.3893938518579,34.99454304447812,exact_name
46170,나주시,Naju-si,126.72044851777508,34.98861161308236,exact_name
46230,광양시,Gwangyang-si,127.65592183961336,35.01944731023174,exact_name
46710,담양군,Damyang-gun,126.99527582698352,35.29152104563458,exact_name
46720,곡성군,Gokseong-gun,127.2635467446577,35.21660717602512,exact_name
46730,구례군,Gurye-gun,127.50312497914399,35.23680808293902,exact_name
46770,고흥군,Goheung-gun,127.31493823608064,34.598227654236844,exact_name
46780,보성군,Boseong-gun,127.16250655591925,34.814286406985794,exact_name
46790,화순군,Hwasun-gun,127.03351478866855,35.00819322701042,exact_name
46800,장흥군,Jangheung-gun,126.92200089208451,34.67530755923496,exact_name
46810,강진군,Gangjin-gun,126.77218162261012,34.62033438363936,exact_name
46820,해남군,Haenam-gun,126.51136641363199,34.55855500287499,exact_name
46830,영암군,Yeongam-gun,126.62616419467749,34.79696430765973,exact_name
46840,무안군,Muan-gun,126.42520670699055,34.953785233603696,exact_name
46860,함평군,Hampyeong-gun,126.53547824476674,35.112675422561594,exact_name
46870,영광군,Yeonggwang-gun,126.45061649068964,35.2790332330008,exact_name
46880,장성군,Jangseong-gun,126.76861454090648,35.32962425211144,exact_name
46890,완도군,Wando-gun,126.7784000147677,34.294575281297085,exact_name
46900,진도군,Jindo-gun,126.21163219790071,34.436955137937076,exact_name
46910,신안군,Sinan-gun,126.04261117720253,34.80997966203446,exact_name
47110,포항시,Pohang-si,128.7490444452486,36.348584092091976,province_proxy
47111,남구,Nam-gu,129.43780514216115,35.95847294765731,exact_name
47113,북구,Buk-gu,129.23428888648047,36.16504184744337,exact_name
47130,경주시,Gyeongju-si,129.23603528550086,35.82663968954301,exact_name
47150,김천시,Gimcheon-si,128.07783811218982,36.060524553170666,exact_name
47170,안동시,Andong-si,128.77999604710843,36.5803085347951,exact_name
47190,구미시,Gumi-si,128.3554753956002,36.20734263260712,exact_name
47210,영주시,Yeongju-si,128.59765328801444,36.87055751830621,exact_name
47230,영천시,Yeongcheon-si,128.94264268668775,36.01583491269985,exact_name
47250,상주시,Sangju-si,128.06696983124317,36.42955878100858,exact_name
47280,문경시,Mungyeong-si,128.1486978382528,36.69080241970704,exact_name
47290,경산시,Gyeongsan-si,128.80904737042096,35.83413773210164,exact_name
47730,의성군,Uiseong-gun,128.6149979149496,36.36200883591757,exact_name
47750,청송군,Cheongsong-gun,129.05742340512887,36.35704282706494,exact_name
47760,영양군,Yeongyang-gun,129.14502251828486,36.69639656664655,exact_name
47770,영덕군,Yeongdeok-gun,129.31765059843963,36.4824526232655,exact_name
47820,청도군,Cheongdo-gun,128.78650976612377,35.67290667545205,exact_name
47830,고령군,Goryeong-gun,128.30676697866087,35.737224089064135,exact_name
47840,성주군,Seongju-gun,128.2333448467463,35.90725500003561,exact_name
47850,칠곡군,Chilgok-gun,128.46253393413045,36.01546899640451,exact_name
47900,예천군,Yecheon-gun,128.42243514080266,36.65387151979342,exact_name
47920,봉화군,Bonghwa-gun,128.91298545840445,36.93417285250688,exact_name
47930,울진군,Uljin-gun,129.3123985033506,36.90408683756604,exact_name
