year,C1,region,youth_net_migration_20_34,total_net_migration,region_kosis,youth_share_19_39,youth_population_19_39,total_population,youth_employment_rate_15_29,grdp_per_capita_thousand_won,businesses_per_1000_people,under40_homeownership_rate,under40_nonowner_rate,capital_area,youth_net_migration_rate_per_1000,total_net_migration_rate_per_1000,log_grdp_per_capita,capital_area_numeric
2019,51,강원특별자치도,-5575,1661,강원특별자치도,25.2,382702.0,1520127.0,42.4,33780.0,,29.86,70.14,False,-14.567470251004698,1.0926718622851908,10.427624190361792,0
2020,51,강원특별자치도,-4446,5457,강원특별자치도,24.5,372995.0,1521763.0,40.8,33945.0,125.1,28.13,71.87,False,-11.919730827490985,3.585972322891278,10.432496846735747,0
2021,51,강원특별자치도,-4313,6681,강원특별자치도,23.9,363704.0,1521890.0,40.2,36350.0,130.2,29.05,70.95,False,-11.8585443107582,4.389936197754109,10.500949482961666,0
2022,51,강원특별자치도,-2111,7494,강원특별자치도,23.6,360201.0,1528037.0,40.0,37797.0,132.4,28.88,71.12,False,-5.860616711225121,4.904331505061723,10.53998501337874,0
2023,51,강원특별자치도,-3701,-1397,강원특별자치도,23.3,355979.0,1528014.0,43.6,40749.0,137.0,27.42,72.58,False,-10.396680703075182,-0.9142586389915276,10.6151865784906,0
2024,51,강원특별자치도,-4700,-2527,강원특별자치도,22.9,349461.0,1522881.0,48.1,42563.0,141.1,27.67,72.33,False,-13.449283324891763,-1.659354867517554,10.658740610253117,0
2015,52,전북특별자치도,-6735,-2830,전북특별자치도,26.2,480463.0,1834114.0,34.8,26827.0,,37.35,62.65,False,-14.017728732493449,-1.542979334981359,10.197164122035577,0
2016,52,전북특별자치도,-7646,-4419,전북특별자치도,26.0,476705.0,1833168.0,33.8,27300.0,,33.9,66.1,False,-16.039269569230445,-2.4105810269435204,10.21464198117305,0
2017,52,전북특별자치도,-8307,-7206,전북특별자치도,25.7,469417.0,1826174.0,32.7,28545.0,,33.58,66.42,False,-17.696419175274862,-3.9459547666323145,10.25923706839836,0
2018,52,전북특별자치도,-11284,-13773,전북특별자치도,25.5,464208.0,1818157.0,31.7,29319.0,,33.76,66.24,False,-24.308068796746287,-7.57525340220894,10.285991049006945,0
2019,52,전북특별자치도,-11154,-12748,전북특별자치도,25.3,456412.0,1807423.0,32.7,30400.0,,32.53,67.47,False,-24.438445965487322,-7.053135873561419,10.322197887394314,0
2020,52,전북특별자치도,-10014,-8494,전북특별자치도,24.8,447389.0,1802766.0,31.5,31213.0,125.2,30.43,69.57,False,-22.38320566665698,-4.711648655455006,10.34858995368279,0
2021,52,전북특별자치도,-7901,-5801,전북특별자치도,24.2,432940.0,1787053.0,36.5,33164.0,129.5,30.01,69.99,False,-18.24964198272278,-3.2461264439275164,10.409220229236109,0
2022,52,전북특별자치도,-8229,-5115,전북특별자치도,23.7,420350.0,1774248.0,38.6,34484.0,131.5,28.38,71.62,False,-19.57654335672654,-2.8829115208245972,10.448250727329816,0
2023,52,전북특별자치도,-7054,-4457,전북특별자치도,23.4,414154.0,1768491.0,38.8,36052.0,136.6,27.83,72.17,False,-17.03231165218735,-2.5202276969461535,10.4927176196763,0
2024,52,전북특별자치도,-7494,-6060,전북특별자치도,23.1,405418.0,1758836.0,38.0,37980.0,145.2,27.18,72.82,False,-18.484625744293545,-3.4454605204805904,10.544814984366276,0
