C1_NM,C1_NM_ENG,n_years,start_year,end_year,start_population,end_population,absolute_change,change_pct,slope_people_per_year,slope_per_10k_people,r2,C1,age_group,age_group_label,trend_class,topo_code,topo_name,match_note
동구,Dong-gu,17.0,2008.0,2024.0,180798.0,148079.0,-32719.0,-18.1,-2555.7,-0.256,0.924,30110.0,working_age,15-64세 생산연령인구,감소,25010,동구,province_exact_name
중구,Jung-gu,17.0,2008.0,2024.0,193199.0,150664.0,-42535.0,-22.02,-3076.0,-0.308,0.929,30140.0,working_age,15-64세 생산연령인구,감소,25020,중구,province_exact_name
서구,Seo-gu,17.0,2008.0,2024.0,370529.0,331099.0,-39430.0,-10.64,-2556.6,-0.256,0.782,30170.0,working_age,15-64세 생산연령인구,감소,25030,서구,province_exact_name
유성구,Yuseong-gu,17.0,2008.0,2024.0,184576.0,273452.0,88876.0,48.15,5352.7,0.535,0.876,30200.0,working_age,15-64세 생산연령인구,급격한 증가,25040,유성구,global_exact_name
대덕구,Daedeok-gu,17.0,2008.0,2024.0,154519.0,118290.0,-36229.0,-23.45,-2529.1,-0.253,0.926,30230.0,working_age,15-64세 생산연령인구,감소,25050,대덕구,global_exact_name
중구,Jung-gu,17.0,2008.0,2024.0,177342.0,142603.0,-34739.0,-19.59,-2408.8,-0.241,0.658,31110.0,working_age,15-64세 생산연령인구,감소,26010,중구,province_exact_name
남구,Nam-gu,17.0,2008.0,2024.0,261673.0,221473.0,-40200.0,-15.36,-2904.2,-0.29,0.721,31140.0,working_age,15-64세 생산연령인구,감소,26020,남구,province_exact_name
동구,Dong-gu,17.0,2008.0,2024.0,137191.0,104563.0,-32628.0,-23.78,-2262.0,-0.226,0.852,31170.0,working_age,15-64세 생산연령인구,감소,26030,동구,province_exact_name
북구,Buk-gu,17.0,2008.0,2024.0,118723.0,158662.0,39939.0,33.64,2683.3,0.268,0.906,31200.0,working_age,15-64세 생산연령인구,증가,26040,북구,province_exact_name
울주군,Ulju-gun,17.0,2008.0,2024.0,134555.0,152772.0,18217.0,13.54,1196.9,0.12,0.5,31710.0,working_age,15-64세 생산연령인구,증가,26310,울주군,global_exact_name
,,,,,,,,,,,,,,,,29010,세종시,unmatched
장안구,Jangan-gu,17.0,2008.0,2024.0,208602.0,202011.0,-6591.0,-3.16,-1100.9,-0.11,0.346,41111.0,working_age,15-64세 생산연령인구,감소,31011,수원시장안구,suffix_name
권선구,Gwonseon-gu,17.0,2008.0,2024.0,230029.0,269186.0,39157.0,17.02,3103.9,0.31,0.692,41113.0,working_age,15-64세 생산연령인구,증가,31012,수원시권선구,suffix_name
팔달구,Paldal-gu,17.0,2008.0,2024.0,162311.0,143590.0,-18721.0,-11.53,-1828.3,-0.183,0.71,41115.0,working_age,15-64세 생산연령인구,감소,31013,수원시팔달구,suffix_name
영통구,Yeongtong-gu,17.0,2008.0,2024.0,190049.0,277324.0,87275.0,45.92,6616.4,0.662,0.864,41117.0,working_age,15-64세 생산연령인구,급격한 증가,31014,수원시영통구,suffix_name
수정구,Sujeong-gu,17.0,2008.0,2024.0,190084.0,167334.0,-22750.0,-11.97,-1034.4,-0.103,0.596,41131.0,working_age,15-64세 생산연령인구,감소,31021,성남시수정구,suffix_name
중원구,Jungwon-gu,17.0,2008.0,2024.0,203503.0,147644.0,-55859.0,-27.45,-3815.8,-0.382,0.952,41133.0,working_age,15-64세 생산연령인구,감소,31022,성남시중원구,suffix_name
분당구,Bundang-gu,17.0,2008.0,2024.0,316552.0,338702.0,22150.0,7.0,81.3,0.008,0.001,41135.0,working_age,15-64세 생산연령인구,완만한 증가,31023,성남시분당구,suffix_name
의정부시,Uijeongbu-si,17.0,2008.0,2024.0,312602.0,326033.0,13431.0,4.3,1410.6,0.141,0.794,41150.0,working_age,15-64세 생산연령인구,증가,31030,의정부시,global_exact_name
만안구,Manan-gu,17.0,2008.0,2024.0,199357.0,162523.0,-36834.0,-18.48,-2370.3,-0.237,0.87,41171.0,working_age,15-64세 생산연령인구,감소,31041,안양시만안구,suffix_name
동안구,Dongan-gu,17.0,2008.0,2024.0,265387.0,237170.0,-28217.0,-10.63,-2856.1,-0.286,0.765,41173.0,working_age,15-64세 생산연령인구,감소,31042,안양시동안구,suffix_name
부천시,Bucheon-si,17.0,2008.0,2024.0,657601.0,553116.0,-104485.0,-15.89,-6814.2,-0.681,0.784,41190.0,working_age,15-64세 생산연령인구,급격한 감소,31050,부천시,global_exact_name
광명시,Gwangmyeong-si,17.0,2008.0,2024.0,229672.0,197841.0,-31831.0,-13.86,-3310.8,-0.331,0.52,41210.0,working_age,15-64세 생산연령인구,감소,31060,광명시,global_exact_name
평택시,Pyeongtaek-si,17.0,2008.0,2024.0,287144.0,438726.0,151582.0,52.79,10070.3,1.007,0.973,41220.0,working_age,15-64세 생산연령인구,급격한 증가,31070,평택시,global_exact_name
동두천시,Dongducheon-si,17.0,2008.0,2024.0,63724.0,56821.0,-6903.0,-10.83,-462.3,-0.046,0.423,41250.0,working_age,15-64세 생산연령인구,완만한 감소,31080,동두천시,global_exact_name
상록구,Sangnok-gu,17.0,2008.0,2024.0,275230.0,246767.0,-28463.0,-10.34,-1892.0,-0.189,0.437,41271.0,working_age,15-64세 생산연령인구,감소,31091,안산시상록구,suffix_name
단원구,Danwon-gu,17.0,2008.0,2024.0,246098.0,222135.0,-23963.0,-9.74,-1922.8,-0.192,0.761,41273.0,working_age,15-64세 생산연령인구,감소,31092,안산시단원구,suffix_name
덕양구,Deogyang-gu,17.0,2008.0,2024.0,279265.0,350647.0,71382.0,25.56,5342.6,0.534,0.951,41281.0,working_age,15-64세 생산연령인구,급격한 증가,31101,고양시덕양구,suffix_name
일산동구,Ilsandong-gu,17.0,2008.0,2024.0,191967.0,215283.0,23316.0,12.15,1593.1,0.159,0.531,41285.0,working_age,15-64세 생산연령인구,증가,31103,고양시일산동구,suffix_name
일산서구,Ilsanseo-gu,17.0,2008.0,2024.0,205167.0,205261.0,94.0,0.05,475.0,0.047,0.09,41287.0,working_age,15-64세 생산연령인구,완만한 증가,31104,고양시일산서구,suffix_name
과천시,Gwacheon-si,17.0,2008.0,2024.0,50085.0,59366.0,9281.0,18.53,104.8,0.01,0.012,41290.0,working_age,15-64세 생산연령인구,완만한 증가,31110,과천시,global_exact_name
구리시,Guri-si,17.0,2008.0,2024.0,144170.0,134542.0,-9628.0,-6.68,-371.5,-0.037,0.144,41310.0,working_age,15-64세 생산연령인구,완만한 감소,31120,구리시,global_exact_name
남양주시,Namyangju-si,17.0,2008.0,2024.0,358802.0,512555.0,153753.0,42.85,9802.8,0.98,0.917,41360.0,working_age,15-64세 생산연령인구,급격한 증가,31130,남양주시,global_exact_name
오산시,Osan-si,17.0,2008.0,2024.0,108016.0,180250.0,72234.0,66.87,3762.6,0.376,0.893,41370.0,working_age,15-64세 생산연령인구,증가,31140,오산시,global_exact_name
시흥시,Siheung-si,17.0,2008.0,2024.0,284340.0,385124.0,100784.0,35.44,7467.5,0.747,0.892,41390.0,working_age,15-64세 생산연령인구,급격한 증가,31150,시흥시,global_exact_name
군포시,Gunpo-si,17.0,2008.0,2024.0,204140.0,184762.0,-19378.0,-9.49,-1273.0,-0.127,0.466,41410.0,working_age,15-64세 생산연령인구,감소,31160,군포시,global_exact_name
의왕시,Uiwang-si,17.0,2008.0,2024.0,99299.0,109246.0,9947.0,10.02,569.1,0.057,0.221,41430.0,working_age,15-64세 생산연령인구,완만한 증가,31170,의왕시,global_exact_name
하남시,Hanam-si,17.0,2008.0,2024.0,107950.0,231595.0,123645.0,114.54,9829.9,0.983,0.9,41450.0,working_age,15-64세 생산연령인구,급격한 증가,31180,하남시,global_exact_name
처인구,Cheoin-gu,17.0,2008.0,2024.0,145668.0,195171.0,49503.0,33.98,3306.2,0.331,0.961,41461.0,working_age,15-64세 생산연령인구,증가,31191,용인시처인구,suffix_name
기흥구,Giheung-gu,17.0,2008.0,2024.0,219280.0,311942.0,92662.0,42.26,5607.0,0.561,0.882,41463.0,working_age,15-64세 생산연령인구,급격한 증가,31192,용인시기흥구,suffix_name
수지구,Suji-gu,17.0,2008.0,2024.0,206838.0,265698.0,58860.0,28.46,4088.8,0.409,0.933,41465.0,working_age,15-64세 생산연령인구,증가,31193,용인시수지구,suffix_name
파주시,Paju-si,17.0,2008.0,2024.0,216948.0,360398.0,143450.0,66.12,8331.8,0.833,0.958,41480.0,working_age,15-64세 생산연령인구,급격한 증가,31200,파주시,global_exact_name
이천시,Icheon-si,17.0,2008.0,2024.0,138646.0,157850.0,19204.0,13.85,1337.7,0.134,0.932,41500.0,working_age,15-64세 생산연령인구,증가,31210,이천시,global_exact_name
안성시,Anseong-si,17.0,2008.0,2024.0,118445.0,133546.0,15101.0,12.75,694.2,0.069,0.748,41550.0,working_age,15-64세 생산연령인구,완만한 증가,31220,안성시,global_exact_name
김포시,Gimpo-si,17.0,2008.0,2024.0,156337.0,338082.0,181745.0,116.25,13212.9,1.321,0.969,41570.0,working_age,15-64세 생산연령인구,급격한 증가,31230,김포시,global_exact_name
화성시,Hwaseong-si,17.0,2008.0,2024.0,312330.0,709455.0,397125.0,127.15,26881.2,2.688,0.958,41590.0,working_age,15-64세 생산연령인구,급격한 증가,31240,화성시,global_exact_name
광주시,Gwangju-si,17.0,2008.0,2024.0,169918.0,280829.0,110911.0,65.27,7977.0,0.798,0.95,41610.0,working_age,15-64세 생산연령인구,급격한 증가,31250,광주시,global_exact_name
양주시,Yangju-si,17.0,2008.0,2024.0,127317.0,200692.0,73375.0,57.63,3501.0,0.35,0.86,41630.0,working_age,15-64세 생산연령인구,증가,31260,양주시,global_exact_name
포천시,Pocheon-si,17.0,2008.0,2024.0,113629.0,93469.0,-20160.0,-17.74,-1157.5,-0.116,0.829,41650.0,working_age,15-64세 생산연령인구,감소,31270,포천시,global_exact_name
여주시,Yeoju-si,12.0,2013.0,2024.0,75929.0,73789.0,-2140.0,-2.82,-293.9,-0.029,0.645,41670.0,working_age,15-64세 생산연령인구,완만한 감소,31280,여주시,global_exact_name
