sido,sigungu,region,weeks,avg_inside,avg_outside,avg_total,outside_share_pct,avg_inside_10k,avg_outside_10k,avg_total_10k
경상남도,김해시,경상남도 김해시,52,860067.1538461539,237981.40384615384,1098048.5576923077,21.67312202898411,86.00671538461539,23.798140384615383,109.80485576923077
인천광역시,부평구,인천광역시 부평구,52,818375.3076923077,273003.21153846156,1091378.5192307692,25.01453040608505,81.83753076923078,27.300321153846156,109.13785192307692
경기도,시흥시,경기도 시흥시,52,781950.0576923077,293621.71153846156,1075571.7692307692,27.29912776982375,78.19500576923078,29.362171153846155,107.55717692307692
대전광역시,서구,대전광역시 서구,52,754743.2692307692,317132.21153846156,1071875.4807692308,29.58666535695656,75.47432692307693,31.713221153846156,107.18754807692308
광주광역시,북구,광주광역시 북구,52,767032.75,287673.6153846154,1054706.3653846155,27.275232692817834,76.703275,28.767361538461536,105.47063653846155
서울특별시,마포구,서울특별시 마포구,52,523979.6538461539,521578.01923076925,1045557.6730769231,49.88515054323513,52.39796538461539,52.157801923076924,104.5557673076923
서울특별시,노원구,서울특별시 노원구,52,772602.2115384615,263742.9423076923,1036345.1538461539,25.44933426174395,77.26022115384615,26.37429423076923,103.63451538461538
대구광역시,북구,대구광역시 북구,52,743717.9615384615,286770.42307692306,1030488.3846153846,27.828593447363904,74.37179615384615,28.677042307692307,103.04883846153847
광주광역시,광산구,광주광역시 광산구,52,745698.75,274105.73076923075,1019804.4807692308,26.87826303356452,74.569875,27.410573076923075,101.98044807692308
서울특별시,강동구,서울특별시 강동구,52,738296.5192307692,266219.42307692306,1004515.9423076923,26.502259632169945,73.82965192307692,26.621942307692308,100.45159423076923
대구광역시,수성구,대구광역시 수성구,52,707462.8076923077,296020.6346153846,1003483.4423076923,29.499304336764286,70.74628076923078,29.602063461538464,100.34834423076923
부산광역시,부산진구,부산광역시 부산진구,52,621490.4038461539,380505.21153846156,1001995.6153846154,37.97473818210321,62.14904038461539,38.050521153846155,100.19956153846154
경기도,고양시 덕양구,경기도 고양시 덕양구,52,713086.8076923077,281936.9038461539,995023.7115384615,28.334691985403598,71.30868076923078,28.193690384615387,99.50237115384616
경기도,파주시,경기도 파주시,52,728264.9423076923,254511.42307692306,982776.3653846154,25.89718597651852,72.82649423076923,25.451142307692308,98.27763653846154
서울특별시,관악구,서울특별시 관악구,52,713707.3846153846,260610.82692307694,974318.2115384615,26.74801967537576,71.37073846153847,26.061082692307693,97.43182115384614
경기도,부천시 원미구,경기도 부천시 원미구,52,648246.5769230769,320393.46153846156,968640.0384615385,33.076627933667986,64.82465769230768,32.039346153846154,96.86400384615385
서울특별시,구로구,서울특별시 구로구,52,613505.0384615385,326925.53846153844,940430.5769230769,34.7633888650432,61.35050384615385,32.69255384615384,94.04305769230768
부산광역시,해운대구,부산광역시 해운대구,52,624138.6923076923,309276.0576923077,933414.75,33.13383013202949,62.41386923076922,30.92760576923077,93.341475
경기도,김포시,경기도 김포시,52,678111.8269230769,244301.1923076923,922413.0192307692,26.485011292601136,67.81118269230768,24.430119230769233,92.24130192307692
경기도,의정부시,경기도 의정부시,52,721793.1730769231,187022.51923076922,908815.6923076923,20.578707081506924,72.17931730769232,18.702251923076922,90.88156923076923
서울특별시,양천구,서울특별시 양천구,52,669130.9807692308,239667.75,908798.7307692308,26.371928336336804,66.91309807692308,23.966775,90.87987307692308
인천광역시,미추홀구,인천광역시 미추홀구,52,637618.1730769231,252743.90384615384,890362.0769230769,28.386642962106944,63.76181730769231,25.274390384615383,89.03620769230768
인천광역시,연수구,인천광역시 연수구,52,631600.5769230769,258050.67307692306,889651.25,29.00582369517528,63.16005769230769,25.805067307692305,88.965125
서울특별시,성북구,서울특별시 성북구,52,628137.9038461539,259145.13461538462,887283.0384615385,29.206591739285,62.81379038461539,25.914513461538462,88.72830384615385
경상남도,진주시,경상남도 진주시,52,753350.7307692308,125924.34615384616,879275.0769230769,14.321382404526247,75.33507307692308,12.592434615384615,87.92750769230769
강원특별자치도,원주시,강원특별자치도 원주시,52,737354.2115384615,136158.51923076922,873512.7307692308,15.587468211352299,73.73542115384615,13.615851923076923,87.35127307692308
충청남도,천안시 서북구,충청남도 천안시 서북구,52,605530.7692307692,265878.0,871408.7692307692,30.511283497261815,60.55307692307692,26.5878,87.14087692307693
경상북도,구미시,경상북도 구미시,52,724978.3076923077,145958.88461538462,870937.1923076923,16.758830132014733,72.49783076923077,14.595888461538463,87.09371923076922
경기도,용인시 기흥구,경기도 용인시 기흥구,52,571226.0576923077,290278.6153846154,861504.6730769231,33.69437502269899,57.12260576923077,29.027861538461536,86.15046730769231
서울특별시,중구,서울특별시 중구,52,195909.96153846153,654903.1923076923,850813.1538461539,76.97379728406426,19.590996153846152,65.49031923076923,85.0813153846154
경기도,안산시 단원구,경기도 안산시 단원구,52,537339.9230769231,309118.1153846154,846458.0384615385,36.51901232416037,53.73399230769231,30.91181153846154,84.64580384615385
울산광역시,남구,울산광역시 남구,52,569811.0769230769,275170.1153846154,844981.1923076923,32.56523552117296,56.98110769230769,27.51701153846154,84.49811923076922
대구광역시,동구,대구광역시 동구,52,547259.8653846154,293177.21153846156,840437.0769230769,34.88389786559778,54.72598653846154,29.317721153846158,84.04370769230769
전북특별자치도,전주시 완산구,전북특별자치도 전주시 완산구,52,618889.3461538461,218499.1923076923,837388.5384615385,26.092928464141863,61.88893461538461,21.84991923076923,83.73885384615384
경기도,안양시 동안구,경기도 안양시 동안구,52,546430.0192307692,280596.32692307694,827026.3461538461,33.928341972176966,54.64300192307692,28.059632692307694,82.70263461538461
경기도,수원시 영통구,경기도 수원시 영통구,52,517158.6923076923,304657.76923076925,821816.4615384615,37.07126633365826,51.71586923076923,30.465776923076923,82.18164615384615
대전광역시,유성구,대전광역시 유성구,52,508232.3653846154,313497.28846153844,821729.6538461539,38.150903645036536,50.823236538461536,31.349728846153845,82.17296538461538
서울특별시,은평구,서울특별시 은평구,52,651411.0384615385,166431.25,817842.2884615385,20.350042098346073,65.14110384615385,16.643125,81.78422884615385
서울특별시,동대문구,서울특별시 동대문구,52,518707.0576923077,292832.92307692306,811539.9807692308,36.08361017523213,51.87070576923077,29.283292307692307,81.15399807692307
광주광역시,서구,광주광역시 서구,52,500768.1346153846,299140.76923076925,799908.9038461539,37.396854540864425,50.076813461538464,29.914076923076927,79.99089038461538
서울특별시,동작구,서울특별시 동작구,52,526472.9423076923,272746.8461538461,799219.7884615385,34.126638265410236,52.647294230769226,27.27468461538461,79.92197884615385
충청남도,아산시,충청남도 아산시,52,567103.3269230769,226194.15384615384,793297.4807692308,28.513156707219323,56.71033269230769,22.619415384615383,79.32974807692308
서울특별시,종로구,서울특별시 종로구,52,206929.32692307694,582697.3269230769,789626.6538461539,73.79402963221226,20.692932692307693,58.269732692307684,78.96266538461539
서울특별시,광진구,서울특별시 광진구,52,510703.76923076925,277563.03846153844,788266.8076923077,35.21181353228848,51.07037692307693,27.756303846153845,78.82668076923078
강원특별자치도,춘천시,강원특별자치도 춘천시,52,641036.0576923077,132595.46153846153,773631.5192307692,17.139356171824893,64.10360576923077,13.259546153846154,77.36315192307693
세종특별자치시,세종특별자치시,세종특별자치시 세종특별자치시,52,603071.0384615385,161819.46153846153,764890.5,21.15589898664731,60.30710384615385,16.18194615384615,76.48905
서울특별시,성동구,서울특별시 성동구,52,415898.8076923077,344611.8076923077,760510.6153846154,45.313214664074884,41.58988076923077,34.46118076923077,76.05106153846154
서울특별시,중랑구,서울특별시 중랑구,52,577275.5769230769,178203.65384615384,755479.2307692308,23.588160546082314,57.72755769230769,17.820365384615386,75.54792307692307
전북특별자치도,전주시 덕진구,전북특별자치도 전주시 덕진구,52,516712.5961538461,211189.84615384616,727902.4423076923,29.01348228538762,51.67125961538461,21.118984615384615,72.79024423076922
전라남도,여수시,전라남도 여수시,52,573526.8076923077,148680.40384615384,722207.2115384615,20.586945335180413,57.35268076923077,14.868040384615384,72.22072115384616
경기도,광주시,경기도 광주시,52,526450.3653846154,194471.0,720921.3653846154,26.975341464078912,52.64503653846154,19.4471,72.09213653846153
경기도,하남시,경기도 하남시,52,470826.32692307694,248904.09615384616,719730.4230769231,34.58296164413267,47.08263269230769,24.890409615384616,71.97304230769231
경상남도,양산시,경상남도 양산시,52,546175.3846153846,168272.0576923077,714447.4423076923,23.55275528019004,54.617538461538466,16.82720576923077,71.44474423076923
경기도,수원시 권선구,경기도 수원시 권선구,52,482904.28846153844,225006.92307692306,707911.2115384615,31.784624880841882,48.290428846153844,22.500692307692308,70.79112115384615
경기도,광명시,경기도 광명시,52,483797.17307692306,218793.53846153847,702590.7115384615,31.140966549706683,48.3797173076923,21.879353846153847,70.25907115384615
경상북도,경주시,경상북도 경주시,52,453004.07692307694,248687.71153846153,701691.7884615385,35.441160296846306,45.300407692307694,24.868771153846154,70.16917884615386
서울특별시,용산구,서울특별시 용산구,52,301932.82692307694,397762.8076923077,699695.6346153846,56.84797617909303,30.193282692307694,39.776280769230766,69.96956346153846
경기도,고양시 일산동구,경기도 고양시 일산동구,52,410424.9038461539,286392.8461538461,696817.75,41.10010776187118,41.042490384615384,28.639284615384614,69.681775
서울특별시,서대문구,서울특별시 서대문구,52,426485.28846153844,263599.57692307694,690084.8653846154,38.19813911962277,42.648528846153845,26.359957692307695,69.00848653846154
전라남도,순천시,전라남도 순천시,52,555261.5,129583.07692307692,684844.5769230769,18.921530707781592,55.52615,12.958307692307692,68.48445769230769
충청북도,청주시 흥덕구,충청북도 청주시 흥덕구,52,424330.4423076923,250319.3076923077,674649.75,37.10359452327785,42.433044230769234,25.03193076923077,67.464975
전북특별자치도,익산시,전북특별자치도 익산시,52,548896.0192307692,114272.59615384616,663168.6153846154,17.231303397488425,54.889601923076924,11.427259615384616,66.31686153846154
경상남도,창원시 성산구,경상남도 창원시 성산구,52,425651.75,232429.84615384616,658081.5961538461,35.31930500902639,42.565175,23.242984615384614,65.80815961538461
경기도,용인시 수지구,경기도 용인시 수지구,52,489465.28846153844,160271.9423076923,649737.2307692308,24.667193862039376,48.946528846153846,16.027194230769233,64.97372307692308
인천광역시,중구,인천광역시 중구,52,224555.46153846153,420788.17307692306,645343.6346153846,65.20373805619182,22.455546153846154,42.078817307692304,64.53436346153846
경기도,용인시 처인구,경기도 용인시 처인구,52,389475.32692307694,241914.03846153847,631389.3653846154,38.31455702681574,38.947532692307696,24.191403846153847,63.138936538461536
전북특별자치도,군산시,전북특별자치도 군산시,52,520293.3461538461,110779.30769230769,631072.6538461539,17.5541289924621,52.02933461538461,11.077930769230768,63.10726538461539
경상북도,포항시 북구,경상북도 포항시 북구,52,461549.8076923077,168374.96153846153,629924.7692307692,26.729376230763574,46.15498076923077,16.837496153846153,62.99247692307692
부산광역시,사하구,부산광역시 사하구,52,495800.17307692306,129432.96153846153,625233.1346153846,20.70155184882882,49.58001730769231,12.943296153846154,62.523313461538464
충청남도,천안시 동남구,충청남도 천안시 동남구,52,395526.6346153846,227704.25,623230.8846153846,36.53609851837228,39.552663461538465,22.770425,62.32308846153846
경상북도,경산시,경상북도 경산시,52,447648.5,174026.34615384616,621674.8461538461,27.99314581095015,44.76485,17.402634615384617,62.167484615384616
경기도,안산시 상록구,경기도 안산시 상록구,52,473204.9423076923,140879.98076923078,614084.9230769231,22.94144921574365,47.32049423076923,14.087998076923078,61.40849230769231
부산광역시,동래구,부산광역시 동래구,52,398523.53846153844,213792.11538461538,612315.6538461539,34.9153437514977,39.85235384615385,21.379211538461536,61.23156538461539
전라남도,목포시,전라남도 목포시,52,476464.26923076925,134562.25,611026.5192307692,22.02232567080763,47.64642692307692,13.456225,61.10265192307693
