topo_code,kosis_region_code,region,region_eng,husband_total_marriages,wife_total_marriages,korean_husband_foreign_wife,korean_wife_foreign_husband,map_match_note,total_marriages_for_rate,international_marriages,international_marriage_share_pct,year
25010,25010,동구,Dong-gu,1001.0,1007.0,53.0,15.0,direct_topo_code,1004.0,68.0,6.77,2024
24040,24040,북구,Buk-gu,1766.0,1736.0,108.0,10.0,direct_topo_code,1751.0,118.0,6.74,2024
24020,24020,서구,Seo-gu,1104.0,1124.0,62.0,12.0,direct_topo_code,1114.0,74.0,6.64,2024
32010,32010,춘천시,Chuncheon-si,1230.0,1193.0,65.0,14.0,direct_topo_code,1211.5,79.0,6.52,2024
24010,24010,동구,Dong-gu,531.0,482.0,24.0,9.0,direct_topo_code,506.5,33.0,6.52,2024
25050,25050,대덕구,Daedeok-gu,905.0,844.0,47.0,10.0,direct_topo_code,874.5,57.0,6.52,2024
21080,21080,북구,Buk-gu,922.0,980.0,47.0,12.0,direct_topo_code,951.0,59.0,6.2,2024
25030,25030,서구,Seo-gu,2580.0,2762.0,126.0,30.0,direct_topo_code,2671.0,156.0,5.84,2024
21050,21050,부산진구,Busanjin-gu,1580.0,1685.0,70.0,22.0,direct_topo_code,1632.5,92.0,5.64,2024
25040,25040,유성구,Yuseong-gu,2433.0,2348.0,90.0,44.0,direct_topo_code,2390.5,134.0,5.61,2024
29010,29010,세종시,Sejog-si,1842.0,1708.0,74.0,21.0,direct_topo_code,1775.0,95.0,5.35,2024
25020,25020,중구,Jung-gu,1067.0,1101.0,50.0,7.0,direct_topo_code,1084.0,57.0,5.26,2024
32390,32590,인제군,Inje-gun,182.0,93.0,7.0,0.0,name_prefix_boundary_code,137.5,7.0,5.09,2024
21060,21060,동래구,Dongnae-gu,858.0,833.0,25.0,16.0,direct_topo_code,845.5,41.0,4.85,2024
36370,36570,화순군,Hwasun-gun,202.0,211.0,9.0,1.0,name_prefix_boundary_code,206.5,10.0,4.84,2024
21130,21130,연제구,Yeonje-gu,849.0,860.0,34.0,7.0,direct_topo_code,854.5,41.0,4.8,2024
36320,36520,곡성군,Gokseong-gun,63.0,68.0,3.0,0.0,name_prefix_boundary_code,65.5,3.0,4.58,2024
22010,22010,중구,Jung-gu,678.0,634.0,20.0,9.0,direct_topo_code,656.0,29.0,4.42,2024
