C1_NM,C1_NM_ENG,n_years,start_year,end_year,start_population,end_population,absolute_change,change_pct,slope_people_per_year,slope_per_10k_people,r2,C1,age_group,age_group_label,trend_class,topo_code,topo_name,match_note
서구,Seo-gu,17.0,2008.0,2024.0,23050.0,45225.0,22175.0,96.2,1344.5,0.134,0.996,27170.0,older,65세 이상 고령층 인구,증가,22030,서구,province_exact_name
남구,Nam-gu,17.0,2008.0,2024.0,22413.0,37735.0,15322.0,68.36,966.9,0.097,0.998,27200.0,older,65세 이상 고령층 인구,완만한 증가,22040,남구,province_exact_name
북구,Buk-gu,17.0,2008.0,2024.0,36912.0,78162.0,41250.0,111.75,2590.9,0.259,0.976,27230.0,older,65세 이상 고령층 인구,증가,22050,북구,province_exact_name
수성구,Suseong-gu,17.0,2008.0,2024.0,41524.0,79184.0,37660.0,90.69,2279.1,0.228,0.988,27260.0,older,65세 이상 고령층 인구,증가,22060,수성구,global_exact_name
달서구,Dalseo-gu,17.0,2008.0,2024.0,42516.0,100449.0,57933.0,136.26,3586.4,0.359,0.979,27290.0,older,65세 이상 고령층 인구,증가,22070,달서구,global_exact_name
달성군,Dalseong-gun,17.0,2008.0,2024.0,16424.0,42982.0,26558.0,161.7,1695.4,0.17,0.953,27710.0,older,65세 이상 고령층 인구,증가,22310,달성군,global_exact_name
중구,Jung-gu,17.0,2008.0,2024.0,9989.0,26621.0,16632.0,166.5,1010.5,0.101,0.973,28110.0,older,65세 이상 고령층 인구,증가,23010,중구,province_exact_name
동구,Dong-gu,17.0,2008.0,2024.0,9230.0,15804.0,6574.0,71.22,387.5,0.039,0.992,28140.0,older,65세 이상 고령층 인구,완만한 증가,23020,동구,province_exact_name
남구,Nam-gu,10.0,2008.0,2017.0,40263.0,60758.0,20495.0,50.9,2249.5,0.225,0.997,28170.0,older,65세 이상 고령층 인구,증가,23030,남구,province_exact_name
연수구,Yeonsu-gu,17.0,2008.0,2024.0,17589.0,52160.0,34571.0,196.55,2081.9,0.208,0.94,28185.0,older,65세 이상 고령층 인구,증가,23040,연수구,global_exact_name
남동구,Namdong-gu,17.0,2008.0,2024.0,32077.0,91471.0,59394.0,185.16,3658.3,0.366,0.983,28200.0,older,65세 이상 고령층 인구,증가,23050,남동구,global_exact_name
부평구,Bupyeong-gu,17.0,2008.0,2024.0,43057.0,93125.0,50068.0,116.28,2954.6,0.295,0.973,28237.0,older,65세 이상 고령층 인구,증가,23060,부평구,global_exact_name
계양구,Gyeyang-gu,17.0,2008.0,2024.0,20603.0,51136.0,30533.0,148.2,1793.6,0.179,0.949,28245.0,older,65세 이상 고령층 인구,증가,23070,계양구,global_exact_name
서구,Seo-gu,17.0,2008.0,2024.0,24567.0,84811.0,60244.0,245.22,3549.7,0.355,0.951,28260.0,older,65세 이상 고령층 인구,증가,23080,서구,province_exact_name
강화군,Ganghwa-gun,17.0,2008.0,2024.0,15139.0,27022.0,11883.0,78.49,720.2,0.072,0.985,28710.0,older,65세 이상 고령층 인구,완만한 증가,23310,강화군,global_exact_name
옹진군,Ongjin-gun,17.0,2008.0,2024.0,3346.0,6748.0,3402.0,101.67,204.6,0.02,0.974,28720.0,older,65세 이상 고령층 인구,완만한 증가,23320,옹진군,global_exact_name
동구,Dong-gu,17.0,2008.0,2024.0,14710.0,25071.0,10361.0,70.44,612.9,0.061,0.988,29110.0,older,65세 이상 고령층 인구,완만한 증가,24010,동구,province_exact_name
서구,Seo-gu,17.0,2008.0,2024.0,23424.0,50571.0,27147.0,115.89,1675.2,0.168,0.995,29140.0,older,65세 이상 고령층 인구,증가,24020,서구,province_exact_name
남구,Nam-gu,17.0,2008.0,2024.0,21465.0,44551.0,23086.0,107.55,1419.0,0.142,0.998,29155.0,older,65세 이상 고령층 인구,증가,24030,남구,province_exact_name
북구,Buk-gu,17.0,2008.0,2024.0,37629.0,79388.0,41759.0,110.98,2558.0,0.256,0.985,29170.0,older,65세 이상 고령층 인구,증가,24040,북구,province_exact_name
광산구,Gwangsan-gu,17.0,2008.0,2024.0,21225.0,47399.0,26174.0,123.32,1529.0,0.153,0.989,29200.0,older,65세 이상 고령층 인구,증가,24050,광산구,global_exact_name
동구,Dong-gu,17.0,2008.0,2024.0,26013.0,50056.0,24043.0,92.43,1463.4,0.146,0.991,30110.0,older,65세 이상 고령층 인구,증가,25010,동구,province_exact_name
중구,Jung-gu,17.0,2008.0,2024.0,27124.0,52849.0,25725.0,94.84,1584.1,0.158,0.997,30140.0,older,65세 이상 고령층 인구,증가,25020,중구,province_exact_name
서구,Seo-gu,17.0,2008.0,2024.0,34043.0,75614.0,41571.0,122.11,2584.7,0.258,0.978,30170.0,older,65세 이상 고령층 인구,증가,25030,서구,province_exact_name
유성구,Yuseong-gu,17.0,2008.0,2024.0,15875.0,45571.0,29696.0,187.06,1789.9,0.179,0.964,30200.0,older,65세 이상 고령층 인구,증가,25040,유성구,global_exact_name
대덕구,Daedeok-gu,17.0,2008.0,2024.0,16167.0,35155.0,18988.0,117.45,1143.0,0.114,0.969,30230.0,older,65세 이상 고령층 인구,증가,25050,대덕구,global_exact_name
