year,working_age_population_index,economically_active_population_index,employed_population_index
200803,87.89604841580633,83.91713747645952,84.3679573857816
200804,87.8693485226059,84.48210922787194,85.06453595574678
200805,87.84264862940549,85.36723163841809,86.45769309567712
200806,87.83374866500534,85.14124293785311,85.45380045072731
200807,87.85154859380563,86.55367231638418,87.25670969063717
200808,87.81594873620506,84.01129943502825,84.9620979307519
200809,87.78034887860449,81.69491525423729,83.40503995082975
200810,87.72694909220363,81.46892655367232,82.72894898586355
200811,87.72694909220363,81.69491525423729,82.87236222085637
200812,87.7002491990032,81.43126177024482,81.90944478590453
200901,87.84264862940549,82.31638418079096,82.1757836508912
200902,87.77144891420434,81.43126177024482,80.90555214095471
200903,87.69134923460307,80.50847457627118,79.86068428600697
200904,87.62904948380206,82.20338983050848,82.27822167588609
200905,87.60234959060163,83.1638418079096,83.65089121081746
200906,87.57564969740122,83.84180790960451,83.54845318582258
200907,87.53114987540049,84.95291902071564,84.61380864576931
200908,87.45995016019936,82.015065913371,82.05285802089736
200909,87.33535065859736,79.94350282485875,80.4138496209793
200910,87.21075115699537,79.09604519774011,79.65580823601721
200911,87.11285154859381,80.45197740112995,80.86457693095677
200912,87.0060519757921,80.88512241054615,81.35627945093219
201001,87.1751512993948,83.29566854990584,82.21675886088916
201002,87.03275186899252,81.95856873822976,80.37287441098135
201003,86.91705233179067,79.62335216572505,78.89776685105511
201004,86.78355286578854,80.77212806026365,80.4138496209793
201005,86.71235315058739,81.2994350282486,82.81089940585944
201006,86.62335350658597,81.28060263653484,81.21286621593936
201007,86.59665361338554,83.97363465160075,83.67137881581644
201008,86.52545389818441,79.41619585687383,80.37287441098135
201009,86.40975436098256,78.00376647834275,78.77484122106125
201010,86.32075471698113,77.47645951035781,78.40606433107969
201011,86.27625489498043,78.11676082862523,79.49190739602541
201012,86.28515485938057,79.47269303201506,79.5738578160213
201101,86.46315414738342,81.2617702448211,80.92603974595369
201102,86.36525453898184,80.09416195856875,79.73775865601311
201103,86.29405482378071,79.5291902071563,78.36508912108174
201104,86.187255250979,79.6798493408663,79.12313050604385
201105,86.187255250979,80.4331450094162,81.08994058594551
201106,86.03595585617657,80.07532956685499,80.49580004097521
201107,85.97365610537557,82.86252354048965,83.24113911083795
201108,85.86685653257386,79.92467043314501,81.47920508092604
201109,85.67995728017088,77.51412429378531,79.04118008604794
201110,85.54645781416875,77.85310734463276,79.02069248104897
201111,85.48415806336774,77.87193973634652,79.02069248104897
201112,85.62655749377002,78.60640301318269,78.93874206105306
201201,85.41295834816661,79.92467043314501,80.02458512599877
201202,85.31505873976504,79.45386064030131,79.28703134603565
201203,85.19935920256319,78.56873822975517,78.34460151608276
201204,85.04805980776077,79.49152542372882,79.18459332104078
201205,85.0124599501602,80.20715630885122,80.29092399098545
201206,84.82556069775721,79.05838041431261,79.4099569760295
201207,84.74546101815594,81.2617702448211,81.95041999590248
201208,84.63866144535423,77.72128060263654,79.12313050604385
201209,84.50516197935208,75.87570621468926,77.03339479614833
201210,84.38056247775009,75.19774011299435,76.19340299119033
201211,84.33606265574937,75.31073446327684,76.43925425117803
201212,84.49626201495194,75.68738229755179,76.17291538619135
201301,84.32716269134923,76.91148775894538,77.36119647613194
201302,84.30046279814881,76.10169491525424,75.31243597623438
201303,84.16696333214666,74.91525423728814,74.55439459127227
201304,84.07796368814525,75.32956685499059,75.10755992624463
201305,84.01566393734426,76.47834274952919,77.0538824011473
201306,83.98896404414383,76.64783427495291,76.82851874615857
201307,83.94446422214311,78.47457627118644,78.3241139110838
201308,83.90886436454255,76.10169491525424,76.54169227617291
201309,83.88216447134211,76.30885122410545,76.60315509116984
201310,83.84656461374155,75.55555555555556,75.80413849620979
201311,83.8376646493414,76.15819209039549,76.66461790616677
201312,83.81986472054112,76.8738229755179,76.48022946117598
201401,83.75756496974012,78.75706214689265,78.22167588608892
201402,83.74866500533999,80.24482109227871,77.83241139110838
201403,83.69526521893911,77.13747645951035,75.64023765621799
201404,83.65966536133855,78.45574387947269,76.80803114115959
201405,83.63296546813814,77.94726930320151,77.44314689612784
201406,83.59736561053755,79.00188323917138,77.77094857611145
201407,83.56176575293699,81.2994350282486,80.5777504609711
201408,83.58846564613741,79.92467043314501,79.61483302601926
201409,83.57066571733714,78.15442561205273,77.8119237861094
201410,83.52616589533642,77.47645951035781,77.54558492112272
201411,83.52616589533642,77.72128060263654,77.85289899610736
201412,83.51726593093628,78.32391713747646,77.54558492112272
201501,83.50836596653613,79.83050847457626,78.89776685105511
201502,83.52616589533642,81.07344632768361,78.4880147510756
201503,83.51726593093628,78.66290018832392,76.459741856177
201504,83.52616589533642,80.30131826741996,78.46752714607662
201505,83.52616589533642,80.71563088512241,79.69678344601516
201506,83.51726593093628,80.97928436911488,79.12313050604385
201507,83.49946600213599,82.090395480226,80.96701495595164
201508,83.4816660733357,80.13182674199624,80.2499487809875
201509,83.46386614453543,79.37853107344633,79.49190739602541
201510,83.42826628693484,78.79472693032015,79.34849416103258
201511,83.39266642933428,79.43502824858757,79.38946937103053
201512,83.38376646493414,79.81167608286253,79.51239500102439
201601,83.49056603773585,80.4331450094162,79.20508092603976
201602,83.47276610893556,82.69303201506591,78.71337840606432
201603,83.49056603773585,81.09227871939736,77.79143618111043
201604,83.46386614453543,81.69491525423729,79.14361811104283
201605,83.46386614453543,82.39171374764595,80.92603974595369
201606,83.42826628693484,83.61581920903954,81.54066789592297
201607,83.36596653613385,83.65348399246705,82.56504814587174
201608,83.29476682093272,82.4105461393597,81.29481663593526
201609,83.22356710573158,81.5065913370998,80.31141159598442
201610,83.15236739053043,80.48964218455744,80.10653554599467
201611,83.0811676753293,79.24670433145009,79.22556853103873
201612,83.00996796012817,80.15065913370998,79.86068428600697
201701,83.00996796012817,79.45386064030131,79.02069248104897
201702,82.94766820932716,82.46704331450094,78.71337840606432
201703,82.8942684229263,81.77024482109228,78.91825445605409
201704,82.82306870772517,83.10734463276836,80.27043638598647
201705,82.7874688501246,83.05084745762711,82.01188281089941
201706,82.68956924172304,83.38983050847457,81.25384142593731
201707,82.58276966892133,83.67231638418079,82.58553575087072
201708,82.48487006051975,82.29755178907722,81.13091579594347
201709,82.3691705233179,80.94161958568739,79.98360991600082
201710,82.32467070131719,79.6798493408663,79.22556853103873
201711,82.25347098611606,79.5668549905838,78.61094038106945
201712,82.13777144891421,79.75517890772127,78.79532882606023
201801,81.98647205411179,80.20715630885122,79.65580823601721
201802,81.88857244571022,81.11111111111111,79.61483302601926
201803,81.69277322890709,82.16572504708098,79.02069248104897
201804,81.6126735493058,81.1864406779661,78.87727924605613
201805,81.49697401210395,82.25988700564972,80.06556033599672
201806,81.39907440370239,81.20527306967985,80.37287441098135
201807,81.33677465290138,82.71186440677965,81.62261831591887
201808,81.26557493770025,82.015065913371,80.31141159598442
201809,81.20327518689925,80.75329566854991,80.10653554599467
201810,81.13207547169812,80.3578154425612,80.06556033599672
201811,81.03417586329654,80.45197740112995,80.55726285597214
201812,81.01637593449627,80.0376647834275,79.5738578160213
201901,80.77607689569241,80.41431261770245,79.71727105101414
201902,80.97187611249555,81.28060263653484,80.02458512599877
201903,80.90957636169456,82.35404896421845,79.90165949600492
201904,80.89177643289428,82.95668549905838,79.86068428600697
201905,80.749377002492,82.67419962335217,80.98750256095062
201906,80.74047703809185,82.35404896421845,80.31141159598442
201907,80.71377714489142,83.44632768361582,81.88895718090555
201908,80.54467782128872,80.7909604519774,81.6021307109199
201909,80.4556781772873,80.28248587570621,80.92603974595369
201910,80.375578497686,81.09227871939736,81.90944478590453
201911,80.25987896048416,80.88512241054615,81.8479819709076
201912,80.24207903168387,80.28248587570621,80.98750256095062
202001,79.99288002847989,80.69679849340866,81.04896537594756
202002,79.94838020647917,79.81167608286253,79.02069248104897
202003,79.76148095407618,76.70433145009416,75.2099979512395
202004,79.5745817016732,75.81920903954801,74.84122106125794
202005,79.5122819508722,79.02071563088512,77.2382708461381
202006,79.36988252046991,79.11487758945385,76.82851874615857
202007,79.23638305446778,79.24670433145009,77.89387420610531
202008,79.08508365966536,77.72128060263654,78.07826265109608
202009,78.91598433606266,77.13747645951035,76.459741856177
202010,78.80918476326094,77.00564971751412,76.78754353616061
202011,78.75578497686008,76.89265536723164,76.86949395615652
202012,78.71128515485938,74.83992467043315,74.80024585125999
202101,78.81808472766109,75.76271186440678,74.6158574062692
202102,78.68458526165895,77.79661016949152,76.11145257119443
202103,78.55108579565682,79.94350282485875,78.22167588608892
202104,78.42648629405483,80.16949152542374,78.50850235607457
202105,78.31078675685296,81.16760828625236,80.06556033599672
202106,78.17728729085084,81.82674199623352,81.11042819094449
202107,78.01708793164828,80.84745762711864,81.64310592091785
202108,77.80348878604487,79.03954802259886,81.00799016594961
202109,77.63438946244216,78.60640301318269,80.94652735095266
202110,77.49199003203987,78.36158192090396,80.45482483097726
202111,77.42079031683873,78.11676082862523,80.31141159598442
202112,77.2872908508366,78.26741996233521,80.2499487809875
202201,77.24279102883588,79.37853107344633,81.19237861094038
202202,77.06479174083304,80.4708097928437,81.49969268592501
202203,76.84229263082948,81.05461393596987,81.86846957590657
202204,76.67319330722677,81.73258003766477,82.31919688588404
202205,76.49519401922392,83.33333333333334,84.08113091579594
202206,76.24599501601995,82.18455743879473,83.26162671583693
202207,76.07689569241724,82.35404896421845,83.5279655808236
202208,75.9255962976148,80.30131826741996,82.66748617086662
202209,75.78319686721254,79.5668549905838,81.27432903093629
202210,75.67639729441082,78.79472693032015,80.88506453595573
202211,75.55179779280883,78.21092278719397,80.20897357098956
202212,75.40939836240655,77.34463276836158,79.73775865601311
202301,75.55179779280883,78.32391713747646,80.14751075599263
202302,75.36489854040583,78.04143126177024,78.93874206105306
202303,75.24029903880385,79.22787193973635,80.04507273099775
202304,75.062299750801,78.11676082862523,79.51239500102439
202305,74.90210039159844,80.07532956685499,82.05285802089736
202306,74.72410110359559,79.34086629001882,80.86457693095677
202307,74.56390174439302,78.92655367231637,80.72116369596394
202308,74.39480242079031,77.53295668549906,80.53677525097316
202309,74.23460306158776,77.06214689265536,79.45093218602746
202310,74.11000355998576,76.74199623352166,79.20508092603976
202311,74.00320398718405,76.49717514124293,78.83630403605818
202312,73.92310430758276,76.12052730696799,78.2421634910879
202401,73.61160555357779,76.70433145009416,78.42655193607867
202402,73.4247063011748,76.38418079096046,77.68899815611555
202403,73.18440726237095,76.06403013182674,77.36119647613194
202404,72.97970808116767,76.64783427495291,77.68899815611555
202405,72.73940904236383,77.34463276836158,78.50850235607457
202406,72.52580989676042,76.25235404896422,77.8119237861094
202407,72.53470986116055,75.59322033898304,77.66851055111658
202408,72.19651121395513,74.4256120527307,77.62753534111863
202409,72.02741189035244,73.6346516007533,76.00901454619955
202410,71.8939124243503,73.44632768361582,75.49682442122516
202411,71.77821288714846,73.08851224105462,75.14853513624257
202412,71.68921324314704,72.07156308851224,73.79635320631019
202501,71.65361338554645,72.31638418079096,73.93976644130301
202502,71.51121395514419,72.05273069679849,72.87441098135628
202503,71.34211463154148,72.67419962335217,73.120262241344
202504,71.14631541473834,73.48399246704331,74.1241548862938
202505,70.9683161267355,74.25612052730696,75.43536160622824
202506,70.74581701673193,72.73069679849341,74.26756812128662
202507,70.60341758632966,72.37288135593221,74.43146896127843
202508,70.4877180491278,70.71563088512242,73.16123745134195
202509,70.3631185475258,70.48964218455744,73.01782421634911
202510,70.2563189747241,70.05649717514125,72.13685720139316
202511,70.20291918832325,69.5291902071563,71.52222905142389
202512,70.13171947312212,70.0376647834275,71.50174144642492
202601,70.18511925952296,69.39736346516008,70.35443556648228
202602,70.10501957992167,69.62335216572505,69.88322065150584
202603,69.9003203987184,69.71751412429379,70.10858430649456
