topo_code,topo_name,C1,C1_NM,kosis_prefix,sido,sigungu,living_population,registered_population,stay_population,foreign_population,region,living_registered_ratio,stay_share_pct,foreign_share_pct,living_population_10k,registered_population_10k,stay_population_10k,foreign_population_10k,has_living_population
32340,평창군,51760,평창군,51,강원특별자치도,평창군,583096.6666666666,39905.666666666664,541704.0,1487.0,강원특별자치도 평창군,14.611876341705857,92.90123421502439,0.2550177500585952,58.309666666666665,3.9905666666666666,54.1704,0.1487,True
32350,정선군,51770,정선군,51,강원특별자치도,정선군,399949.0,33285.333333333336,365768.0,895.6666666666666,강원특별자치도 정선군,12.015772712706296,91.45366034169356,0.22394521968217615,39.9949,3.3285333333333336,36.5768,0.08956666666666667,True
32360,철원군,51780,철원군,51,강원특별자치도,철원군,244303.33333333334,40010.333333333336,202784.0,1509.0,강원특별자치도 철원군,6.106005948463314,83.00500743611084,0.6176747486048765,24.430333333333333,4.001033333333334,20.2784,0.1509,True
32370,화천군,51790,화천군,51,강원특별자치도,화천군,138902.66666666666,22538.666666666668,115739.66666666667,624.3333333333334,강원특별자치도 화천군,6.162860861334595,83.3242942300124,0.4494754120391258,13.890266666666665,2.2538666666666667,11.573966666666667,0.062433333333333334,True
32380,양구군,51800,양구군,51,강원특별자치도,양구군,106066.66666666667,20482.333333333332,84782.33333333333,802.0,강원특별자치도 양구군,5.1784464660601826,79.93306096794468,0.7561282212445003,10.606666666666667,2.048233333333333,8.478233333333334,0.0802,True
32390,인제군,51810,인제군,51,,,,,,,,,,,,,,,False
32400,고성군,51820,고성군,51,강원특별자치도,고성군,545267.6666666666,26768.666666666668,516699.3333333333,1799.6666666666667,강원특별자치도 고성군,20.36962368938809,94.76067717200665,0.33005196836049333,54.52676666666666,2.6768666666666667,51.66993333333333,0.17996666666666666,True
32410,양양군,51830,양양군,51,강원특별자치도,양양군,569706.0,27331.666666666668,541851.6666666666,522.6666666666666,강원특별자치도 양양군,20.844173425208854,95.11075303168066,0.09174322662332267,56.9706,2.733166666666667,54.18516666666666,0.05226666666666666,True
33020,충주시,43130,충주시,43,,,,,,,,,,,,,,,False
33030,제천시,43150,제천시,43,충청북도,제천시,581576.6666666666,128093.0,449956.6666666667,3527.0,충청북도 제천시,4.54026891919673,77.3684180360285,0.606454866942163,58.157666666666664,12.8093,44.99566666666667,0.3527,True
33041,청주시상당구,43111,상당구,43,,,,,,,,,,,,,,,False
33042,청주시서원구,43112,서원구,43,,,,,,,,,,,,,,,False
33043,청주시흥덕구,43113,흥덕구,43,,,,,,,,,,,,,,,False
33044,청주시청원구,43114,청원구,43,,,,,,,,,,,,,,,False
33320,보은군,43720,보은군,43,충청북도,보은군,201467.0,30338.666666666668,169934.66666666666,1193.6666666666667,충청북도 보은군,6.640601652456711,84.34863608763055,0.5924874379757811,20.1467,3.033866666666667,16.993466666666666,0.11936666666666668,True
33330,옥천군,43730,옥천군,43,충청북도,옥천군,238760.33333333334,48394.0,188713.0,1653.3333333333333,충청북도 옥천군,4.933676351062804,79.03867336980878,0.6924656664074573,23.876033333333336,4.8394,18.8713,0.16533333333333333,True
33340,영동군,43740,영동군,43,충청북도,영동군,209595.33333333334,42878.333333333336,165453.0,1264.0,충청북도 영동군,4.888140863684067,78.93925755344425,0.6030668621756845,20.959533333333333,4.287833333333333,16.5453,0.1264,True
33350,진천군,43750,진천군,43,,,,,,,,,,,,,,,False
33360,괴산군,43760,괴산군,43,충청북도,괴산군,352346.0,35777.0,314894.0,1675.0,충청북도 괴산군,9.84839421975012,89.37067541564258,0.47538499088963687,35.2346,3.5777,31.4894,0.1675,True
33370,음성군,43770,음성군,43,,,,,,,,,,,,,,,False
33380,단양군,43800,단양군,43,충청북도,단양군,278904.6666666667,26988.0,251170.0,746.6666666666666,충청북도 단양군,10.3343955338175,90.05586138154733,0.26771393809593236,27.89046666666667,2.6988,25.117,0.07466666666666666,True
33390,증평군,43745,증평군,43,,,,,,,,,,,,,,,False
34011,천안시동남구,44131,동남구,44,,,,,,,,,,,,,,,False
34012,천안시서북구,44133,서북구,44,,,,,,,,,,,,,,,False
34020,공주시,44150,공주시,44,충청남도,공주시,662573.0,100514.0,558750.3333333334,3308.6666666666665,충청남도 공주시,6.591847901784826,84.33038070270497,0.49936635912822686,66.2573,10.0514,55.875033333333334,0.33086666666666664,True
34030,보령시,44180,보령시,44,충청남도,보령시,683490.0,92539.33333333333,586787.0,4163.666666666667,충청남도 보령시,7.385940392914004,85.85158524630938,0.6091774081064342,68.349,9.253933333333332,58.6787,0.4163666666666667,True
34040,아산시,44200,아산시,44,,,,,,,,,,,,,,,False
34050,서산시,44210,서산시,44,,,,,,,,,,,,,,,False
