year,C1,C1_NM,C1_NM_ENG,total_population,child_population,working_age_population,older_population,older_share,working_age_share,child_share
2011,27200,남구,Nam-gu,169095,17993,126438,24664,14.59,74.77,10.64
2012,27200,남구,Nam-gu,168715,17366,125471,25878,15.34,74.37,10.29
2013,27200,남구,Nam-gu,166062,16462,122392,27208,16.38,73.7,9.91
2014,27200,남구,Nam-gu,163492,15601,119458,28433,17.39,73.07,9.54
2015,27200,남구,Nam-gu,160852,14793,116733,29326,18.23,72.57,9.2
2016,27200,남구,Nam-gu,156433,13695,112764,29974,19.16,72.08,8.75
2017,27200,남구,Nam-gu,152845,12875,108838,31132,20.37,71.21,8.42
2018,27200,남구,Nam-gu,150501,11984,106359,32158,21.37,70.67,7.96
2019,27200,남구,Nam-gu,148113,11528,103598,32987,22.27,69.95,7.78
2020,27200,남구,Nam-gu,146632,10953,101492,34187,23.31,69.22,7.47
2021,27200,남구,Nam-gu,143175,10329,98232,34614,24.18,68.61,7.21
2022,27200,남구,Nam-gu,141519,9838,96091,35590,25.15,67.9,6.95
2023,27200,남구,Nam-gu,139187,9499,93127,36561,26.27,66.91,6.82
2024,27200,남구,Nam-gu,136263,9021,89507,37735,27.69,65.69,6.62
2008,27230,북구,Buk-gu,461518,90560,334046,36912,8.0,72.38,19.62
2009,27230,북구,Buk-gu,453367,85070,330172,38125,8.41,72.83,18.76
2010,27230,북구,Buk-gu,452505,80741,332474,39290,8.68,73.47,17.84
2011,27230,북구,Buk-gu,449775,77197,332185,40393,8.98,73.86,17.16
2012,27230,북구,Buk-gu,448485,74085,331874,42526,9.48,74.0,16.52
2013,27230,북구,Buk-gu,444359,70584,329043,44732,10.07,74.05,15.88
2014,27230,북구,Buk-gu,444375,67793,329410,47172,10.62,74.13,15.26
2015,27230,북구,Buk-gu,443119,64851,329139,49129,11.09,74.28,14.64
2016,27230,북구,Buk-gu,440383,61842,327385,51156,11.62,74.34,14.04
2017,27230,북구,Buk-gu,441375,59993,327125,54257,12.29,74.11,13.59
2018,27230,북구,Buk-gu,439489,57669,324926,56894,12.95,73.93,13.12
2019,27230,북구,Buk-gu,437710,55503,322087,60120,13.74,73.58,12.68
2020,27230,북구,Buk-gu,440263,53973,322236,64054,14.55,73.19,12.26
2021,27230,북구,Buk-gu,437008,51828,317944,67236,15.39,72.75,11.86
2022,27230,북구,Buk-gu,430912,48592,311833,70487,16.36,72.37,11.28
2023,27230,북구,Buk-gu,419624,44894,301055,73675,17.56,71.74,10.7
2024,27230,북구,Buk-gu,413010,42151,292697,78162,18.92,70.87,10.21
2008,27260,수성구,Suseong-gu,451732,82086,328122,41524,9.19,72.64,18.17
2009,27260,수성구,Suseong-gu,456196,80645,332143,43408,9.52,72.81,17.68
2010,27260,수성구,Suseong-gu,461988,78265,338732,44991,9.74,73.32,16.94
2011,27260,수성구,Suseong-gu,461083,75389,339433,46261,10.03,73.62,16.35
2012,27260,수성구,Suseong-gu,459779,72348,338836,48595,10.57,73.7,15.74
2013,27260,수성구,Suseong-gu,461004,70383,339659,50962,11.05,73.68,15.27
2014,27260,수성구,Suseong-gu,456505,67645,336037,52823,11.57,73.61,14.82
2015,27260,수성구,Suseong-gu,451786,64525,332665,54596,12.08,73.63,14.28
2016,27260,수성구,Suseong-gu,447011,61596,328984,56431,12.62,73.6,13.78
2017,27260,수성구,Suseong-gu,439211,59156,321150,58905,13.41,73.12,13.47
2018,27260,수성구,Suseong-gu,432759,56845,314825,61089,14.12,72.75,13.14
2019,27260,수성구,Suseong-gu,428614,55396,309744,63474,14.81,72.27,12.92
2020,27260,수성구,Suseong-gu,424314,54128,303622,66564,15.69,71.56,12.76
2021,27260,수성구,Suseong-gu,417097,52505,295407,69185,16.59,70.82,12.59
2022,27260,수성구,Suseong-gu,411553,50679,288796,72078,17.51,70.17,12.31
2023,27260,수성구,Suseong-gu,407331,48981,283343,75007,18.41,69.56,12.02
2024,27260,수성구,Suseong-gu,409107,49048,280875,79184,19.36,68.66,11.99
2008,27290,달서구,Dalseo-gu,594616,108093,444007,42516,7.15,74.67,18.18
2009,27290,달서구,Dalseo-gu,598011,104535,449001,44475,7.44,75.08,17.48
2010,27290,달서구,Dalseo-gu,607083,101126,459538,46419,7.65,75.7,16.66
2011,27290,달서구,Dalseo-gu,606542,97581,460755,48206,7.95,75.96,16.09
2012,27290,달서구,Dalseo-gu,606557,94000,461405,51152,8.43,76.07,15.5
2013,27290,달서구,Dalseo-gu,610358,91668,464190,54500,8.93,76.05,15.02
2014,27290,달서구,Dalseo-gu,606433,87704,461153,57576,9.49,76.04,14.46
2015,27290,달서구,Dalseo-gu,602641,83716,458654,60271,10.0,76.11,13.89
2016,27290,달서구,Dalseo-gu,591891,79409,449505,62977,10.64,75.94,13.42
2017,27290,달서구,Dalseo-gu,578068,75196,435839,67033,11.6,75.4,13.01
2018,27290,달서구,Dalseo-gu,573413,71955,430475,70983,12.38,75.07,12.55
2019,27290,달서구,Dalseo-gu,568887,69272,423840,75775,13.32,74.5,12.18
2020,27290,달서구,Dalseo-gu,558631,65918,412067,80646,14.44,73.76,11.8
2021,27290,달서구,Dalseo-gu,544926,62340,397814,84772,15.56,73.0,11.44
2022,27290,달서구,Dalseo-gu,536989,59387,388424,89178,16.61,72.33,11.06
2023,27290,달서구,Dalseo-gu,527781,56330,377689,93762,17.77,71.56,10.67
2024,27290,달서구,Dalseo-gu,522021,53816,367756,100449,19.24,70.45,10.31
2008,27710,달성군,Dalseong-gun,171001,33111,121466,16424,9.6,71.03,19.36
2009,27710,달성군,Dalseong-gun,176135,32911,126131,17093,9.7,71.61,18.69
2010,27710,달성군,Dalseong-gun,178899,32096,129091,17712,9.9,72.16,17.94
2011,27710,달성군,Dalseong-gun,180351,31288,130871,18192,10.09,72.56,17.35
2012,27710,달성군,Dalseong-gun,184366,31228,134105,19033,10.32,72.74,16.94
2013,27710,달성군,Dalseong-gun,184358,30199,134264,19895,10.79,72.83,16.38
2014,27710,달성군,Dalseong-gun,184902,29513,134627,20762,11.23,72.81,15.96
2015,27710,달성군,Dalseong-gun,192747,30129,140392,22226,11.53,72.84,15.63
2016,27710,달성군,Dalseong-gun,218268,35462,158591,24215,11.09,72.66,16.25
2017,27710,달성군,Dalseong-gun,243375,40258,176167,26950,11.07,72.39,16.54
2018,27710,달성군,Dalseong-gun,250543,41447,180329,28767,11.48,71.98,16.54
2019,27710,달성군,Dalseong-gun,256540,42229,183753,30558,11.91,71.63,16.46
2020,27710,달성군,Dalseong-gun,259339,42107,184143,33089,12.76,71.0,16.24
2021,27710,달성군,Dalseong-gun,262451,41977,184944,35530,13.54,70.47,15.99
2022,27710,달성군,Dalseong-gun,263162,40959,184196,38007,14.44,69.99,15.56
2023,27710,달성군,Dalseong-gun,262084,39418,182449,40217,15.35,69.61,15.04
2024,27710,달성군,Dalseong-gun,257580,37435,177163,42982,16.69,68.78,14.53
2023,27720,군위군,Gunwi-gun,22988,953,11724,10311,44.85,51.0,4.15
2024,27720,군위군,Gunwi-gun,22463,879,10955,10629,47.32,48.77,3.91
2008,28110,중구,Jung-gu,88713,14001,64723,9989,11.26,72.96,15.78
2009,28110,중구,Jung-gu,89688,13621,65680,10387,11.58,73.23,15.19
2010,28110,중구,Jung-gu,92890,13707,68138,11045,11.89,73.35,14.76
2011,28110,중구,Jung-gu,93581,13599,68424,11558,12.35,73.12,14.53
2012,28110,중구,Jung-gu,98648,14472,71410,12766,12.94,72.39,14.67
2013,28110,중구,Jung-gu,107774,16234,77547,13993,12.98,71.95,15.06
2014,28110,중구,Jung-gu,111929,17041,80010,14878,13.29,71.48,15.22
2015,28110,중구,Jung-gu,114493,17298,81785,15410,13.46,71.43,15.11
2016,28110,중구,Jung-gu,115249,16881,82631,15737,13.65,71.7,14.65
2017,28110,중구,Jung-gu,117999,16668,84688,16643,14.1,71.77,14.13
2018,28110,중구,Jung-gu,122499,16670,88347,17482,14.27,72.12,13.61
2019,28110,중구,Jung-gu,135135,18349,97710,19076,14.12,72.31,13.58
2020,28110,중구,Jung-gu,139729,18547,100651,20531,14.69,72.03,13.27
2021,28110,중구,Jung-gu,143633,18653,103245,21735,15.13,71.88,12.99
2022,28110,중구,Jung-gu,152931,19415,110150,23366,15.28,72.03,12.7
2023,28110,중구,Jung-gu,158958,19668,114378,24912,15.67,71.95,12.37
2024,28110,중구,Jung-gu,167113,20553,119939,26621,15.93,71.77,12.3
2020,28114,중구영종출장소,Jung-gu youngjong branch office,0,0,0,0,,,
2022,28114,중구영종출장소,Jung-gu youngjong branch office,0,0,0,0,,,
2023,28114,중구영종출장소,Jung-gu youngjong branch office,0,0,0,0,,,
2024,28114,중구영종출장소,Jung-gu youngjong branch office,0,0,0,0,,,
2020,28118,중구용유출장소,Jung-gu yongyu branch office,0,0,0,0,,,
2022,28118,중구용유출장소,Jung-gu yongyu branch office,0,0,0,0,,,
2023,28118,중구용유출장소,Jung-gu yongyu branch office,0,0,0,0,,,
2024,28118,중구용유출장소,Jung-gu yongyu branch office,0,0,0,0,,,
2008,28140,동구,Dong-gu,74866,11036,54600,9230,12.33,72.93,14.74
2009,28140,동구,Dong-gu,77308,11362,56145,9801,12.68,72.63,14.7
2010,28140,동구,Dong-gu,79663,11571,57702,10390,13.04,72.43,14.52
2011,28140,동구,Dong-gu,78692,11203,56717,10772,13.69,72.07,14.24
2012,28140,동구,Dong-gu,76720,10558,54912,11250,14.66,71.57,13.76
2013,28140,동구,Dong-gu,75093,10012,53415,11666,15.54,71.13,13.33
2014,28140,동구,Dong-gu,73978,9581,52289,12108,16.37,70.68,12.95
2015,28140,동구,Dong-gu,72571,9133,50973,12465,17.18,70.24,12.58
2016,28140,동구,Dong-gu,71014,8702,49673,12639,17.8,69.95,12.25
2017,28140,동구,Dong-gu,69487,8276,48043,13168,18.95,69.14,11.91
2018,28140,동구,Dong-gu,66233,7463,45516,13254,20.01,68.72,11.27
2019,28140,동구,Dong-gu,64427,6869,43807,13751,21.34,67.99,10.66
2020,28140,동구,Dong-gu,62542,6207,41882,14453,23.11,66.97,9.92
2021,28140,동구,Dong-gu,61486,5905,40911,14670,23.86,66.54,9.6
2022,28140,동구,Dong-gu,58999,5399,38897,14703,24.92,65.93,9.15
2023,28140,동구,Dong-gu,59482,5014,39228,15240,25.62,65.95,8.43
2024,28140,동구,Dong-gu,58296,4640,37852,15804,27.11,64.93,7.96
2008,28170,남구,Nam-gu,420741,63517,316961,40263,9.57,75.33,15.1
2009,28170,남구,Nam-gu,419935,61080,316832,42023,10.01,75.45,14.55
2010,28170,남구,Nam-gu,423876,59028,320561,44287,10.45,75.63,13.93
2011,28170,남구,Nam-gu,417996,56401,315648,45947,10.99,75.51,13.49
2012,28170,남구,Nam-gu,414500,54285,311692,48523,11.71,75.2,13.1
2013,28170,남구,Nam-gu,411330,52341,308137,50852,12.36,74.91,12.72
2014,28170,남구,Nam-gu,408305,50380,304694,53231,13.04,74.62,12.34
2015,28170,남구,Nam-gu,404893,48261,301418,55214,13.64,74.44,11.92
2016,28170,남구,Nam-gu,417103,49266,310400,57437,13.77,74.42,11.81
2017,28170,남구,Nam-gu,419267,48506,310003,60758,14.49,73.94,11.57
2018,28177,미추홀구,Michuhol-gu,416542,46856,306853,62833,15.08,73.67,11.25
2019,28177,미추홀구,Michuhol-gu,408862,44314,298906,65642,16.05,73.11,10.84
2020,28177,미추홀구,Michuhol-gu,404343,42194,293075,69074,17.08,72.48,10.44
2021,28177,미추홀구,Michuhol-gu,407464,41600,293544,72320,17.75,72.04,10.21
2022,28177,미추홀구,Michuhol-gu,406004,40287,289952,75765,18.66,71.42,9.92
2023,28177,미추홀구,Michuhol-gu,405995,38986,287129,79880,19.68,70.72,9.6
2024,28177,미추홀구,Michuhol-gu,412274,39152,288651,84471,20.49,70.01,9.5
2008,28185,연수구,Yeonsu-gu,268668,50327,200752,17589,6.55,74.72,18.73
2009,28185,연수구,Yeonsu-gu,271497,48493,204538,18466,6.8,75.34,17.86
2010,28185,연수구,Yeonsu-gu,279230,47783,212140,19307,6.91,75.97,17.11
2011,28185,연수구,Yeonsu-gu,287903,48100,219268,20535,7.13,76.16,16.71
2012,28185,연수구,Yeonsu-gu,292589,47919,223030,21640,7.4,76.23,16.38
2013,28185,연수구,Yeonsu-gu,300305,48326,228985,22994,7.66,76.25,16.09
2014,28185,연수구,Yeonsu-gu,310703,49834,236512,24357,7.84,76.12,16.04
2015,28185,연수구,Yeonsu-gu,319052,50569,242890,25593,8.02,76.13,15.85
2016,28185,연수구,Yeonsu-gu,328627,51380,250354,26893,8.18,76.18,15.63
2017,28185,연수구,Yeonsu-gu,335142,52373,253847,28922,8.63,75.74,15.63
2018,28185,연수구,Yeonsu-gu,346359,53878,261254,31227,9.02,75.43,15.56
2019,28185,연수구,Yeonsu-gu,366550,56480,275724,34346,9.37,75.22,15.41
2020,28185,연수구,Yeonsu-gu,387450,60260,289000,38190,9.86,74.59,15.55
2021,28185,연수구,Yeonsu-gu,389644,59884,288739,41021,10.53,74.1,15.37
2022,28185,연수구,Yeonsu-gu,385796,57313,284469,44014,11.41,73.74,14.86
2023,28185,연수구,Yeonsu-gu,392416,56933,287752,47731,12.16,73.33,14.51
2024,28185,연수구,Yeonsu-gu,400213,57159,290894,52160,13.03,72.68,14.28
2008,28200,남동구,Namdong-gu,450054,80836,337141,32077,7.13,74.91,17.96
2009,28200,남동구,Namdong-gu,463414,81304,347944,34166,7.37,75.08,17.54
2010,28200,남동구,Namdong-gu,473423,79318,357700,36405,7.69,75.56,16.75
2011,28200,남동구,Namdong-gu,495469,81213,374691,39565,7.99,75.62,16.39
2012,28200,남동구,Namdong-gu,503597,80767,380460,42370,8.41,75.55,16.04
2013,28200,남동구,Namdong-gu,507021,79015,383114,44892,8.85,75.56,15.58
2014,28200,남동구,Namdong-gu,514656,78167,388584,47905,9.31,75.5,15.19
2015,28200,남동구,Namdong-gu,531395,78805,400822,51768,9.74,75.43,14.83
2016,28200,남동구,Namdong-gu,530982,76561,400460,53961,10.16,75.42,14.42
2017,28200,남동구,Namdong-gu,536578,75676,402473,58429,10.89,75.01,14.1
2018,28200,남동구,Namdong-gu,537161,73212,401701,62248,11.59,74.78,13.63
2019,28200,남동구,Namdong-gu,532704,70333,395948,66423,12.47,74.33,13.2
2020,28200,남동구,Namdong-gu,525354,66578,387308,71468,13.6,73.72,12.67
2021,28200,남동구,Namdong-gu,518272,62839,379800,75633,14.59,73.28,12.12
2022,28200,남동구,Namdong-gu,506181,58159,368022,80000,15.8,72.71,11.49
2023,28200,남동구,Namdong-gu,492415,52997,353940,85478,17.36,71.88,10.76
2024,28200,남동구,Namdong-gu,486225,49211,345543,91471,18.81,71.07,10.12
2008,28237,부평구,Bupyeong-gu,569246,99395,426794,43057,7.56,74.98,17.46
2009,28237,부평구,Bupyeong-gu,563920,93741,425506,44673,7.92,75.46,16.62
2010,28237,부평구,Bupyeong-gu,567493,89098,431536,46859,8.26,76.04,15.7
2011,28237,부평구,Bupyeong-gu,560936,84500,427785,48651,8.67,76.26,15.06
2012,28237,부평구,Bupyeong-gu,559047,80775,426871,51401,9.19,76.36,14.45
2013,28237,부평구,Bupyeong-gu,556985,77315,425768,53902,9.68,76.44,13.88
2014,28237,부평구,Bupyeong-gu,556992,74862,425529,56601,10.16,76.4,13.44
2015,28237,부평구,Bupyeong-gu,555844,72020,424470,59354,10.68,76.36,12.96
2016,28237,부평구,Bupyeong-gu,549716,69105,419671,60940,11.09,76.34,12.57
2017,28237,부평구,Bupyeong-gu,539941,65884,410098,63959,11.85,75.95,12.2
2018,28237,부평구,Bupyeong-gu,524640,61279,396937,66424,12.66,75.66,11.68
2019,28237,부평구,Bupyeong-gu,511577,57490,384538,69549,13.6,75.17,11.24
2020,28237,부평구,Bupyeong-gu,494962,53193,368345,73424,14.83,74.42,10.75
2021,28237,부평구,Bupyeong-gu,486765,50478,359794,76493,15.71,73.92,10.37
2022,28237,부평구,Bupyeong-gu,489118,48527,359007,81584,16.68,73.4,9.92
2023,28237,부평구,Bupyeong-gu,494138,47741,359137,87260,17.66,72.68,9.66
2024,28237,부평구,Bupyeong-gu,493200,46163,353912,93125,18.88,71.76,9.36
2008,28245,계양구,Gyeyang-gu,342299,65669,256027,20603,6.02,74.8,19.18
2009,28245,계양구,Gyeyang-gu,344039,62253,260334,21452,6.24,75.67,18.09
2010,28245,계양구,Gyeyang-gu,347810,59101,266146,22563,6.49,76.52,16.99
2011,28245,계양구,Gyeyang-gu,344299,55274,265691,23334,6.78,77.17,16.05
2012,28245,계양구,Gyeyang-gu,342202,52214,265304,24684,7.21,77.53,15.26
2013,28245,계양구,Gyeyang-gu,343806,50157,267430,26219,7.63,77.79,14.59
2014,28245,계양구,Gyeyang-gu,339538,47123,264925,27490,8.1,78.03,13.88
2015,28245,계양구,Gyeyang-gu,334332,44095,261626,28611,8.56,78.25,13.19
2016,28245,계양구,Gyeyang-gu,330284,41709,258813,29762,9.01,78.36,12.63
2017,28245,계양구,Gyeyang-gu,323784,39124,252931,31729,9.8,78.12,12.08
2018,28245,계양구,Gyeyang-gu,312680,35780,243781,33119,10.59,77.97,11.44
2019,28245,계양구,Gyeyang-gu,303471,33084,235344,35043,11.55,77.55,10.9
2020,28245,계양구,Gyeyang-gu,296750,30870,227933,37947,12.79,76.81,10.4
2021,28245,계양구,Gyeyang-gu,295696,29425,225431,40840,13.81,76.24,9.95
2022,28245,계양구,Gyeyang-gu,288856,27071,218061,43724,15.14,75.49,9.37
2023,28245,계양구,Gyeyang-gu,280266,24466,208758,47042,16.78,74.49,8.73
2024,28245,계양구,Gyeyang-gu,280227,23273,205818,51136,18.25,73.45,8.31
2008,28260,서구,Seo-gu,393346,81057,287722,24567,6.25,73.15,20.61
2009,28260,서구,Seo-gu,395508,77911,291906,25691,6.5,73.81,19.7
2010,28260,서구,Seo-gu,408068,76390,304359,27319,6.69,74.59,18.72
2011,28260,서구,Seo-gu,436134,79899,326437,29798,6.83,74.85,18.32
2012,28260,서구,Seo-gu,469887,84531,352297,33059,7.04,74.97,17.99
2013,28260,서구,Seo-gu,490035,86198,368005,35832,7.31,75.1,17.59
2014,28260,서구,Seo-gu,498686,85322,375021,38343,7.69,75.2,17.11
2015,28260,서구,Seo-gu,504606,83582,380313,40711,8.07,75.37,16.56
2016,28260,서구,Seo-gu,510733,82262,385752,42719,8.36,75.53,16.11
2017,28260,서구,Seo-gu,516017,80788,389100,46129,8.94,75.4,15.66
2018,28260,서구,Seo-gu,538596,82462,406159,49975,9.28,75.41,15.31
2019,28260,서구,Seo-gu,544556,81203,409662,53691,9.86,75.23,14.91
2020,28260,서구,Seo-gu,542040,78231,405722,58087,10.72,74.85,14.43
2021,28260,서구,Seo-gu,555380,78751,413426,63203,11.38,74.44,14.18
2022,28260,서구,Seo-gu,589013,83543,435639,69831,11.86,73.96,14.18
2023,28260,서구,Seo-gu,624358,87903,459071,77384,12.39,73.53,14.08
2024,28260,서구,Seo-gu,634064,87422,461831,84811,13.38,72.84,13.79
2020,28265,서구검단출장소,Seo-gu geomdan branch office,0,0,0,0,,,
2022,28265,서구검단출장소,Seo-gu geomdan branch office,0,0,0,0,,,
2023,28265,서구검단출장소,Seo-gu geomdan branch office,0,0,0,0,,,
2024,28265,서구검단출장소,Seo-gu geomdan branch office,0,0,0,0,,,
2008,28710,강화군,Ganghwa-gun,67387,7847,44401,15139,22.47,65.89,11.64
2009,28710,강화군,Ganghwa-gun,67049,7499,43986,15564,23.21,65.6,11.18
2010,28710,강화군,Ganghwa-gun,67104,7173,43921,16010,23.86,65.45,10.69
2011,28710,강화군,Ganghwa-gun,66779,6852,43348,16579,24.83,64.91,10.26
2012,28710,강화군,Ganghwa-gun,66752,6647,42742,17363,26.01,64.03,9.96
2013,28710,강화군,Ganghwa-gun,66735,6359,42374,18002,26.98,63.5,9.53
2014,28710,강화군,Ganghwa-gun,67118,6174,42208,18736,27.92,62.89,9.2
2015,28710,강화군,Ganghwa-gun,67667,6018,42341,19308,28.53,62.57,8.89
2016,28710,강화군,Ganghwa-gun,68010,5989,42421,19600,28.82,62.37,8.81
2017,28710,강화군,Ganghwa-gun,68754,5865,42438,20451,29.75,61.72,8.53
2018,28710,강화군,Ganghwa-gun,68896,5643,42105,21148,30.7,61.11,8.19
2019,28710,강화군,Ganghwa-gun,69178,5581,41695,21902,31.66,60.27,8.07
2020,28710,강화군,Ganghwa-gun,69203,5590,40789,22824,32.98,58.94,8.08
2021,28710,강화군,Ganghwa-gun,69693,5469,40473,23751,34.08,58.07,7.85
2022,28710,강화군,Ganghwa-gun,69803,5242,39798,24763,35.48,57.01,7.51
2023,28710,강화군,Ganghwa-gun,69005,4963,38351,25691,37.23,55.58,7.19
2024,28710,강화군,Ganghwa-gun,69402,4694,37686,27022,38.94,54.3,6.76
2008,28720,옹진군,Ongjin-gun,17376,2165,11865,3346,19.26,68.28,12.46
2009,28720,옹진군,Ongjin-gun,18221,2134,12627,3460,18.99,69.3,11.71
2010,28720,옹진군,Ongjin-gun,18739,2101,13018,3620,19.32,69.47,11.21
2011,28720,옹진군,Ongjin-gun,19485,2172,13524,3789,19.45,69.41,11.15
2012,28720,옹진군,Ongjin-gun,20039,2088,13948,4003,19.98,69.6,10.42
2013,28720,옹진군,Ongjin-gun,20698,2008,14571,4119,19.9,70.4,9.7
2014,28720,옹진군,Ongjin-gun,20703,1914,14487,4302,20.78,69.98,9.25
2015,28720,옹진군,Ongjin-gun,20962,1861,14630,4471,21.33,69.79,8.88
2016,28720,옹진군,Ongjin-gun,21351,1828,14956,4567,21.39,70.05,8.56
2017,28720,옹진군,Ongjin-gun,21573,1806,14931,4836,22.42,69.21,8.37
2018,28720,옹진군,Ongjin-gun,21036,1676,14395,4965,23.6,68.43,7.97
2019,28720,옹진군,Ongjin-gun,20566,1539,13902,5125,24.92,67.6,7.48
2020,28720,옹진군,Ongjin-gun,20455,1467,13503,5485,26.81,66.01,7.17
2021,28720,옹진군,Ongjin-gun,20342,1396,13181,5765,28.34,64.8,6.86
2022,28720,옹진군,Ongjin-gun,20613,1313,13200,6100,29.59,64.04,6.37
2023,28720,옹진군,Ongjin-gun,20377,1161,12777,6439,31.6,62.7,5.7
2024,28720,옹진군,Ongjin-gun,19996,1029,12219,6748,33.75,61.11,5.15
2008,29110,동구,Dong-gu,109963,14546,80707,14710,13.38,73.39,13.23
2009,29110,동구,Dong-gu,107772,13566,78902,15304,14.2,73.21,12.59
2010,29110,동구,Dong-gu,104449,12319,76378,15752,15.08,73.12,11.79
2011,29110,동구,Dong-gu,106495,12226,77382,16887,15.86,72.66,11.48
2012,29110,동구,Dong-gu,105580,11872,75950,17758,16.82,71.94,11.24
2013,29110,동구,Dong-gu,103016,11317,73402,18297,17.76,71.25,10.99
2014,29110,동구,Dong-gu,100786,10682,71185,18919,18.77,70.63,10.6
2015,29110,동구,Dong-gu,98784,10059,69385,19340,19.58,70.24,10.18
2016,29110,동구,Dong-gu,95791,9434,66944,19413,20.27,69.89,9.85
2017,29110,동구,Dong-gu,95448,9243,66158,20047,21.0,69.31,9.68
2018,29110,동구,Dong-gu,94475,9045,65093,20337,21.53,68.9,9.57
2019,29110,동구,Dong-gu,98585,9658,67789,21138,21.44,68.76,9.8
2020,29110,동구,Dong-gu,102897,10468,70233,22196,21.57,68.26,10.17
2021,29110,동구,Dong-gu,103470,10717,70107,22646,21.89,67.76,10.36
2022,29110,동구,Dong-gu,105909,11241,71249,23419,22.11,67.27,10.61
2023,29110,동구,Dong-gu,107176,11173,71764,24239,22.62,66.96,10.42
2024,29110,동구,Dong-gu,106203,10877,70255,25071,23.61,66.15,10.24
2008,29140,서구,Seo-gu,304885,62907,218554,23424,7.68,71.68,20.63
2009,29140,서구,Seo-gu,299825,58653,216721,24451,8.16,72.28,19.56
2010,29140,서구,Seo-gu,303219,55954,221367,25898,8.54,73.01,18.45
2011,29140,서구,Seo-gu,317936,57572,232683,27681,8.71,73.19,18.11
2012,29140,서구,Seo-gu,316545,54680,232570,29295,9.25,73.47,17.27
2013,29140,서구,Seo-gu,315276,51949,232528,30799,9.77,73.75,16.48
2014,29140,서구,Seo-gu,310317,48427,229604,32286,10.4,73.99,15.61
2015,29140,서구,Seo-gu,305028,45003,226470,33555,11.0,74.25,14.75
2016,29140,서구,Seo-gu,309579,43976,230389,35214,11.37,74.42,14.21
2017,29140,서구,Seo-gu,306957,42246,227720,36991,12.05,74.19,13.76
2018,29140,서구,Seo-gu,304172,40300,225404,38468,12.65,74.1,13.25
2019,29140,서구,Seo-gu,300975,38220,222509,40246,13.37,73.93,12.7
2020,29140,서구,Seo-gu,296576,36322,217783,42471,14.32,73.43,12.25
2021,29140,서구,Seo-gu,291231,34417,212865,43949,15.09,73.09,11.82
2022,29140,서구,Seo-gu,287401,32643,208773,45985,16.0,72.64,11.36
2023,29140,서구,Seo-gu,283991,30736,204860,48395,17.04,72.14,10.82
2024,29140,서구,Seo-gu,279050,29128,199351,50571,18.12,71.44,10.44
2008,29155,남구,Nam-gu,213073,35449,156159,21465,10.07,73.29,16.64
2009,29155,남구,Nam-gu,213697,34525,156628,22544,10.55,73.29,16.16
2010,29155,남구,Nam-gu,216863,33748,159320,23795,10.97,73.47,15.56
2011,29155,남구,Nam-gu,219041,33244,160741,25056,11.44,73.38,15.18
2012,29155,남구,Nam-gu,218313,32178,159582,26553,12.16,73.1,14.74
2013,29155,남구,Nam-gu,216254,30858,157616,27780,12.85,72.88,14.27
2014,29155,남구,Nam-gu,219815,30982,159242,29591,13.46,72.44,14.09
2015,29155,남구,Nam-gu,221318,30802,159595,30921,13.97,72.11,13.92
2016,29155,남구,Nam-gu,219729,29999,157546,32184,14.65,71.7,13.65
2017,29155,남구,Nam-gu,218454,29568,155159,33727,15.44,71.03,13.54
2018,29155,남구,Nam-gu,216369,28859,152833,34677,16.03,70.64,13.34
2019,29155,남구,Nam-gu,218060,29213,152685,36162,16.58,70.02,13.4
2020,29155,남구,Nam-gu,214579,28502,148362,37715,17.58,69.14,13.28
2021,29155,남구,Nam-gu,215575,28605,147867,39103,18.14,68.59,13.27
2022,29155,남구,Nam-gu,212379,27299,144340,40740,19.18,67.96,12.85
2023,29155,남구,Nam-gu,209646,26329,140832,42485,20.27,67.18,12.56
2024,29155,남구,Nam-gu,207597,25288,137758,44551,21.46,66.36,12.18
2008,29170,북구,Buk-gu,474121,91175,345317,37629,7.94,72.83,19.23
2009,29170,북구,Buk-gu,469410,86416,343853,39141,8.34,73.25,18.41
2010,29170,북구,Buk-gu,466866,81654,344342,40870,8.75,73.76,17.49
2011,29170,북구,Buk-gu,444483,72906,330290,41287,9.29,74.31,16.4
2012,29170,북구,Buk-gu,443677,69593,329987,44097,9.94,74.38,15.69
2013,29170,북구,Buk-gu,445489,67123,331706,46660,10.47,74.46,15.07
2014,29170,북구,Buk-gu,447685,65551,332952,49182,10.99,74.37,14.64
2015,29170,북구,Buk-gu,446316,63068,331729,51519,11.54,74.33,14.13
2016,29170,북구,Buk-gu,441066,60263,327109,53694,12.17,74.16,13.66
2017,29170,북구,Buk-gu,438780,58869,323379,56532,12.88,73.7,13.42
2018,29170,북구,Buk-gu,439773,57637,323343,58793,13.37,73.52,13.11
2019,29170,북구,Buk-gu,433533,55195,316892,61446,14.17,73.1,12.73
2020,29170,북구,Buk-gu,430431,53638,311964,64829,15.06,72.48,12.46
2021,29170,북구,Buk-gu,427114,52010,307529,67575,15.82,72.0,12.18
2022,29170,북구,Buk-gu,424707,50330,303543,70834,16.68,71.47,11.85
2023,29170,북구,Buk-gu,421683,48507,298770,74406,17.65,70.85,11.5
2024,29170,북구,Buk-gu,423961,47328,297245,79388,18.73,70.11,11.16
2008,29200,광산구,Gwangsan-gu,320660,79957,219478,21225,6.62,68.45,24.94
