C1_OBJ_NM,C2_NM,DT,C2,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM,UNIT_NM,ORG_ID,C2_OBJ_NM
행정구역별,청년여성인구(19~39세),7076676.0,32,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2019,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,청년여성인구(19~39세),6981872.0,32,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2020,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,청년여성인구(19~39세),6809384.0,32,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2021,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,청년여성인구(19~39세),6644574.0,32,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2022,2024-09-27,전국,명,101,청년인구비율 지표
행정구역별,청년여성인구(19~39세),6534466.0,32,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2023,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,청년여성인구(19~39세),6434686.0,32,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51069375.0,33,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2015,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51269554.0,33,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2016,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51422507.0,33,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2017,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51629512.0,33,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2018,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51779203.0,33,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2019,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51829136.0,33,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2020,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51738071.0,33,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2021,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51692272.0,33,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2022,2024-09-27,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51774521.0,33,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2023,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51805547.0,33,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,전국,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),32.8,11,11,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2015,2024-10-10,서울특별시,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),32.6,11,11,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2016,2024-10-10,서울특별시,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),32.5,11,11,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2017,2024-10-10,서울특별시,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),32.5,11,11,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2018,2024-10-10,서울특별시,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),32.4,11,11,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2019,2024-10-10,서울특별시,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),32.2,11,11,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2020,2024-10-10,서울특별시,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),31.7,11,11,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2021,2024-10-10,서울특별시,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),31.4,11,11,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2022,2024-09-27,서울특별시,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),31.2,11,11,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2023,2024-10-10,서울특별시,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),31.0,11,11,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,서울특별시,%,101,청년인구비율 지표
행정구역별,청년인구(19~39세),3253436.0,12,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2015,2024-10-10,서울특별시,명,101,청년인구비율 지표
행정구역별,청년인구(19~39세),3196861.0,12,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2016,2024-10-10,서울특별시,명,101,청년인구비율 지표
행정구역별,청년인구(19~39세),3167944.0,12,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2017,2024-10-10,서울특별시,명,101,청년인구비율 지표
행정구역별,청년인구(19~39세),3146403.0,12,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2018,2024-10-10,서울특별시,명,101,청년인구비율 지표
행정구역별,청년인구(19~39세),3126914.0,12,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2019,2024-10-10,서울특별시,명,101,청년인구비율 지표
행정구역별,청년인구(19~39세),3083919.0,12,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2020,2024-10-10,서울특별시,명,101,청년인구비율 지표
행정구역별,청년인구(19~39세),3005539.0,12,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2021,2024-10-10,서울특별시,명,101,청년인구비율 지표
행정구역별,청년인구(19~39세),2958184.0,12,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2022,2024-09-27,서울특별시,명,101,청년인구비율 지표
행정구역별,청년인구(19~39세),2931861.0,12,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2023,2024-10-10,서울특별시,명,101,청년인구비율 지표
행정구역별,청년인구(19~39세),2892335.0,12,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,서울특별시,명,101,청년인구비율 지표
행정구역별,전체인구,9904312.0,13,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2015,2024-10-10,서울특별시,명,101,청년인구비율 지표
행정구역별,전체인구,9805506.0,13,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2016,2024-10-10,서울특별시,명,101,청년인구비율 지표
행정구역별,전체인구,9741871.0,13,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2017,2024-10-10,서울특별시,명,101,청년인구비율 지표
행정구역별,전체인구,9673936.0,13,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2018,2024-10-10,서울특별시,명,101,청년인구비율 지표
행정구역별,전체인구,9639541.0,13,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2019,2024-10-10,서울특별시,명,101,청년인구비율 지표
행정구역별,전체인구,9586195.0,13,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2020,2024-10-10,서울특별시,명,101,청년인구비율 지표
행정구역별,전체인구,9472127.0,13,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2021,2024-10-10,서울특별시,명,101,청년인구비율 지표
행정구역별,전체인구,9417469.0,13,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2022,2024-09-27,서울특별시,명,101,청년인구비율 지표
행정구역별,전체인구,9384512.0,13,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2023,2024-10-10,서울특별시,명,101,청년인구비율 지표
행정구역별,전체인구,9335444.0,13,11,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,서울특별시,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),24.8,21,11,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2015,2024-10-17,서울특별시,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),24.5,21,11,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2016,2024-10-17,서울특별시,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),24.2,21,11,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2017,2024-10-17,서울특별시,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),24.2,21,11,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2018,2024-10-17,서울특별시,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),24.4,21,11,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2019,2024-10-17,서울특별시,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),24.4,21,11,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2020,2024-10-17,서울특별시,%,101,청년인구비율 지표
