C2,PRD_SE,ITM_ID,TBL_ID,PRD_DE,C3_NM,C3_OBJ_NM_ENG,C2_OBJ_NM_ENG,C1_OBJ_NM_ENG,C1_OBJ_NM,C2_NM,C3,DT,C1,UNIT_NM_ENG,C3_NM_ENG,ITM_NM,TBL_NM,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ITM_NM_ENG,C2_NM_ENG,C3_OBJ_NM,ORG_ID,C2_OBJ_NM
26410,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,금정구,0,21,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Geumjeong-gu,성별,101,전입지별
26440,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,강서구,0,12,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Gangseo-gu,성별,101,전입지별
26470,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,연제구,0,21,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Yeonje-gu,성별,101,전입지별
26500,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,수영구,0,26,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Suyeong-gu,성별,101,전입지별
26530,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,사상구,0,10,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Sasang-gu,성별,101,전입지별
26710,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,기장군,0,11,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Gijang-gun,성별,101,전입지별
27,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,대구광역시,0,176,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Daegu,성별,101,전입지별
27110,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,중  구,0,9,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Jung-gu,성별,101,전입지별
27140,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,동  구,0,23,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Dong-gu,성별,101,전입지별
27170,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,서  구,0,7,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Seo-gu,성별,101,전입지별
27200,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,남  구,0,6,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Nam-gu,성별,101,전입지별
27230,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,북  구,0,23,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Buk-gu,성별,101,전입지별
27260,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,수성구,0,57,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Suseong-gu,성별,101,전입지별
27290,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,달서구,0,37,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Dalseo-gu,성별,101,전입지별
27710,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,달성군,0,13,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Dalseong-gun,성별,101,전입지별
27720,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,군위군,0,1,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Gunwi-gun,성별,101,전입지별
28,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,인천광역시,0,507,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Incheon,성별,101,전입지별
28110,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,중  구,0,41,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Jung-gu,성별,101,전입지별
28140,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,동  구,0,4,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Dong-gu,성별,101,전입지별
28170,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,남  구,0,0,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Nam-gu,성별,101,전입지별
28177,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,미추홀구,0,75,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Michuhol-gu,성별,101,전입지별
28185,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,연수구,0,116,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Yeonsu-gu,성별,101,전입지별
28200,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,남동구,0,68,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Namdong-gu,성별,101,전입지별
28237,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,부평구,0,67,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Bupyeong-gu,성별,101,전입지별
28245,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,계양구,0,35,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Gyeyang-gu,성별,101,전입지별
28260,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,서구,0,88,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Seo-gu,성별,101,전입지별
28710,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,강화군,0,9,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Ganghwa-gun,성별,101,전입지별
28720,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,옹진군,0,4,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Ongjin-gun,성별,101,전입지별
29,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,광주광역시,0,121,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Gwangju,성별,101,전입지별
29110,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,동  구,0,17,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Dong-gu,성별,101,전입지별
29140,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,서  구,0,31,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Seo-gu,성별,101,전입지별
