C1_OBJ_NM,DT,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ITM_NM_ENG,ORG_ID,C1_OBJ_NM_ENG
시도별,29319,35,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2018,2024-09-02,Jeonbuk State,전북특별자치도,천원,Regional GDP per Capita,101,By province
시도별,30400,35,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2019,2024-09-02,Jeonbuk State,전북특별자치도,천원,Regional GDP per Capita,101,By province
시도별,31213,35,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2020,2024-09-02,Jeonbuk State,전북특별자치도,천원,Regional GDP per Capita,101,By province
시도별,33164,35,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2021,2024-09-02,Jeonbuk State,전북특별자치도,천원,Regional GDP per Capita,101,By province
시도별,34484,35,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2022,2024-09-02,Jeonbuk State,전북특별자치도,천원,Regional GDP per Capita,101,By province
시도별,36052,35,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2023,2025-12-17,Jeonbuk State,전북특별자치도,천원,Regional GDP per Capita,101,By province
시도별,37980,35,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2024,2025-12-17,Jeonbuk State,전북특별자치도,천원,Regional GDP per Capita,101,By province
시도별,40834,36,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2015,2024-09-02,Jeollanam-do,전라남도,천원,Regional GDP per Capita,101,By province
시도별,42473,36,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2016,2024-09-02,Jeollanam-do,전라남도,천원,Regional GDP per Capita,101,By province
시도별,43582,36,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2017,2024-09-02,Jeollanam-do,전라남도,천원,Regional GDP per Capita,101,By province
시도별,44086,36,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2018,2024-09-02,Jeollanam-do,전라남도,천원,Regional GDP per Capita,101,By province
시도별,44535,36,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2019,2024-09-02,Jeollanam-do,전라남도,천원,Regional GDP per Capita,101,By province
시도별,45339,36,A,1000 won,T1,INH_1C96_02,1인당 지역내총생산,1인당 GRDP(시도),2020,2024-09-02,Jeollanam-do,전라남도,천원,Regional GDP per Capita,101,By province
