C1_OBJ_NM,C2_NM,DT,C2,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM,UNIT_NM,ORG_ID,C2_OBJ_NM
행정구역별,청년인구(19~34세),69843.0,22,11040,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,성동구,명,101,청년인구비율 지표
행정구역별,전체인구,274688.0,23,11040,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,성동구,명,101,청년인구비율 지표
행정구역별,청년여성비율(19~39세),17.2,31,11040,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,성동구,%,101,청년인구비율 지표
행정구역별,청년여성인구(19~39세),47115.0,32,11040,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,성동구,명,101,청년인구비율 지표
행정구역별,전체인구,274688.0,33,11040,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,성동구,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),36.6,11,11050,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,광진구,%,101,청년인구비율 지표
행정구역별,청년인구(19~39세),126347.0,12,11050,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,광진구,명,101,청년인구비율 지표
행정구역별,전체인구,345130.0,13,11050,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,광진구,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),29.7,21,11050,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,광진구,%,101,청년인구비율 지표
행정구역별,청년인구(19~34세),102488.0,22,11050,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,광진구,명,101,청년인구비율 지표
행정구역별,전체인구,345130.0,23,11050,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,광진구,명,101,청년인구비율 지표
행정구역별,청년여성비율(19~39세),19.2,31,11050,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,광진구,%,101,청년인구비율 지표
행정구역별,청년여성인구(19~39세),66232.0,32,11050,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,광진구,명,101,청년인구비율 지표
행정구역별,전체인구,345130.0,33,11050,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,광진구,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),35.6,11,11060,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,동대문구,%,101,청년인구비율 지표
행정구역별,청년인구(19~39세),126731.0,12,11060,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,동대문구,명,101,청년인구비율 지표
